instant dteday atemp casual registered
1 2011/1/1 0.363625 331 654
2 2011/1/2 0.353739 131 670
3 2011/1/3 0.189405 120 1229
4 2011/1/4 0.212122 108 1454
5 2011/1/5 0.22927 82 1518
6 2011/1/6 0.233209 88 1518
7 2011/1/7 0.208839 148 1362
8 2011/1/8 0.162254 68 891
9 2011/1/9 0.116175 54 768
10 2011/1/10 0.150888 41 1280
11 2011/1/11 0.191464 43 1220
12 2011/1/12 0.160473 25 1137
13 2011/1/13 0.150883 38 1368
14 2011/1/14 0.188413 54 1367
15 2011/1/15 0.248112 222 1026
16 2011/1/16 0.234217 251 953
17 2011/1/17 0.176771 117 883
18 2011/1/18 0.232333 9 674
19 2011/1/19 0.298422 78 1572
20 2011/1/20 0.25505 83 1844
21 2011/1/21 0.157833 75 1468
22 2011/1/22 0.0790696 93 888
23 2011/1/23 0.0988391 150 836
24 2011/1/24 0.11793 86 1330
25 2011/1/25 0.234526 186 1799
26 2011/1/26 0.2036 34 472
27 2011/1/27 0.2197 15 416
28 2011/1/28 0.223317 38 1129
29 2011/1/29 0.212126 123 975
30 2011/1/30 0.250322 140 956
31 2011/1/31 0.18625 42 1459
32 2011/2/1 0.23453 47 1313
33 2011/2/2 0.254417 72 1454
34 2011/2/3 0.177878 61 1489
35 2011/2/4 0.228587 88 1620
36 2011/2/5 0.243058 100 905
37 2011/2/6 0.291671 354 1269
38 2011/2/7 0.303658 120 1592
39 2011/2/8 0.198246 64 1466
40 2011/2/9 0.144283 53 1552
41 2011/2/10 0.149548 47 1491
42 2011/2/11 0.213509 149 1597
43 2011/2/12 0.232954 288 1184
44 2011/2/13 0.324113 397 1192
45 2011/2/14 0.39835 208 1705
46 2011/2/15 0.254274 140 1675
47 2011/2/16 0.3162 218 1897
48 2011/2/17 0.428658 259 2216
49 2011/2/18 0.511983 579 2348
50 2011/2/19 0.391404 532 1103
51 2011/2/20 0.27733 639 1173
52 2011/2/21 0.284075 195 912
53 2011/2/22 0.186033 74 1376
54 2011/2/23 0.245717 139 1778
55 2011/2/24 0.289191 100 1707
56 2011/2/25 0.350461 120 1341
57 2011/2/26 0.282192 424 1545
58 2011/2/27 0.351109 694 1708
59 2011/2/28 0.400118 81 1365
60 2011/3/1 0.263879 137 1714
61 2011/3/2 0.320071 231 1903
62 2011/3/3 0.200133 123 1562
63 2011/3/4 0.255679 214 1730
64 2011/3/5 0.378779 640 1437
65 2011/3/6 0.366252 114 491
66 2011/3/7 0.238461 244 1628
67 2011/3/8 0.3024 316 1817
68 2011/3/9 0.286608 191 1700
69 2011/3/10 0.385668 46 577
70 2011/3/11 0.305 247 1730
71 2011/3/12 0.32575 724 1408
72 2011/3/13 0.380091 982 1435
73 2011/3/14 0.332 359 1687
74 2011/3/15 0.318178 289 1767
75 2011/3/16 0.36693 321 1871
76 2011/3/17 0.410333 424 2320
77 2011/3/18 0.527009 884 2355
78 2011/3/19 0.466525 1424 1693
79 2011/3/20 0.32575 1047 1424
80 2011/3/21 0.409735 401 1676
81 2011/3/22 0.440642 460 2243
82 2011/3/23 0.337939 203 1918
83 2011/3/24 0.270833 166 1699
84 2011/3/25 0.256312 300 1910
85 2011/3/26 0.257571 981 1515
86 2011/3/27 0.250339 472 1221
87 2011/3/28 0.257574 222 1806
88 2011/3/29 0.292908 317 2108
89 2011/3/30 0.29735 168 1368
90 2011/3/31 0.257575 179 1506
91 2011/4/1 0.283454 307 1920
92 2011/4/2 0.315637 898 1354
93 2011/4/3 0.378767 1651 1598
94 2011/4/4 0.542929 734 2381
95 2011/4/5 0.39835 167 1628
96 2011/4/6 0.387608 413 2395
97 2011/4/7 0.433696 571 2570
98 2011/4/8 0.324479 172 1299
99 2011/4/9 0.341529 879 1576
100 2011/4/10 0.426737 1188 1707
101 2011/4/11 0.565217 855 2493
102 2011/4/12 0.493054 257 1777
103 2011/4/13 0.417283 209 1953
104 2011/4/14 0.462742 529 2738
105 2011/4/15 0.441913 642 2484
106 2011/4/16 0.425492 121 674
107 2011/4/17 0.445696 1558 2186
