a.d. (缩)公元
a.m. (缩)上午
abandon v.抛弃，放弃
abandonment n.放弃
abasement n.滥用
abbreviation n.缩写
abeyance n.缓办，中止
abide v.遵守
ability n.能力
able adj.有能力的，能干的
abnormal adj.反常的，变态的
aboard adv.船(车)上
abolish v.废除，取消
abolition n.废除，取消
abortion n.流产
abortive adj.无效果的，失败的
about prep.关于，大约
above prep.在...之上，高于
above-mentioned adj.上述的
abreast adv.并肩，并列
abridge v.省略，摘要
abroad adv.国外，海外
abrogate v.取消，废除
abrogation n.取消，废除
abrupt adj.突然的，生硬的
abruptly adv.突然地
absence n.缺席，缺乏
absent adj.缺席的，不存在
absent-minded adj.心不在焉的
absolute adj.完全的，绝对的
absolutely adv.绝对，完全
absorb v.吸收，专心于
absorption n.吸收，专注
abstract adj.抽象的，难懂的
abstraction n.抽象，提取
absurd adj.荒唐的
absurdity n.荒唐(事)
abundance n.丰富，大量
abundant adj.丰富的，充裕的
abuse v.滥用，谩骂
academic adj.学院的，学术的
academy n.学院，研究院
accede v.同意
accelerate v.加速，加快
acceleration v.加速，促进
accent v.重读
accept v.接受，同意
acceptable adj.可接受的，合意的
acceptance n.接受，承兑
access n.接近，入口
accessible adj.可接近的
accessory n.附件，装饰品
accident n.事故，意外之事
accidental adj.意外的，偶然的
accidentally adv.偶尔，附带
accommodate v.提供便利，拆借
accommodation n.便利，通融
accompaniment n.伴侣，伴奏
accompany v.伴随，伴奏
accomplish v.完成，达到
accomplishment n.成就
accord v.符合，协调
accordance n.按照，与...一致
according adj.按照，据...说
accordingly adj.相应地，从而
account v.说明
accountant n.会计(师)
accounting n.会计学
accrue v.产生，发生
accrued adj.增值的，应计的
accumulate v.积累，积蓄
accumulation n.积累
accumulative adj.积累的
accuracy n.准确(性)
accurate adj.准确的，精密的
accurately adj.准确地
accusation n.控告
accuse v.告发，指责
accustom v.使...习惯于
ache n.疼痛
achieve v.完成，实现
achievement n.完成，成就
aching adj.疼痛的
acid n.酸
acknowledge v.承认，鸣谢
acknowledgment n.承认，鸣谢，回执
acquaint n.使熟悉，相识
acquaintance n.熟悉人，相识
acquaintant adj.熟悉的
acquire v.求得，获得
acquisition n.获得
acre n.英亩
acrobat n.杂技演员
acrobatics n.杂技
across adv.横穿
act v.表演
action n.行为，行动
activate v.使活跃，开动
active adj.活跃的，积极的
actively adv.积极地，活跃地
activity n.活动
actor n.男演员
actress n.女演员
actual adj.现实的，实际的
actuality n.实际
actually adv.实际上，居然
acute adj.剧烈的，敏锐的
ad n.(缩)广告
adapt v.使适应，改编
adaptation n.适应
add v.增添，加，补充
addition n.增加，附加物
additional adj.增加的，附加的
additive n.添加剂
address v.致词
adequate adj.足够的，恰当的
adequately adv.恰当地
adhere v.粘附，坚持
adhesive n.粘合剂
adjacent adj.邻近的
adjective n.形容词
adjoin v.毗连
adjust v.调整，修整
adjustable adj.可调整的
adjustment n.调整
administer v.管理
administration n.行政管理，管理机关
administrative adj.行政管理的
admirable adj.可钦佩的
admiration n.羡慕，钦佩
admire v.钦佩，赞美
admission n.准入，承认
admit v.承认，接纳
admittedly adv.明白地
adolescence n.青春期
adolescent adj.青春期的
adopt v.采用，采纳
adoption n.采用
adore v.崇拜，敬慕
adorn v.装饰，佩带
adornment n.装饰(品)
adult adj.成年的
advance n.,v.前进
advanced adj.先进的，发达的
advantage n.优点，优势
advantageous adj.有利的，有用的
adventure n.冒险，惊险活动
adventurous adj.冒险的
adverb n.副词
adverbial adj.副词的
adversary adj.敌手，对手
adverse v.逆的，相反的
adversity n.逆境，不幸
advertise v.登广告，推销
advertisement n.广告
advertising adj.广告的
advice n.忠告，意见
advisable adj.适当的，可行的
advise v.劝告，通知
adviser n.顾问
advocate v.拥护，提倡
aerial adj.天空的，航空的
aeroplane n.飞机
affair n.事件，事情
affect v.影响，改变
affection n.友爱，爱慕
affectionate adj.充满感情的
affiliate n.分号(公司)
affirm v.断言，肯定
affirmation n.确定，确认
affirmative adj.肯定的
afford v.买得起，经受得起
affordable adj.买得起的
afloat adj.航行中的
aforesaid adj.上述的
afraid adj.害怕的，恐怕
africa n.非洲
african n.非洲人
after prep.在...后
afternoon n.下午
afterward adv.后来
again adv.再，又
against prep.反对，对着
age n.年龄，时代
agency n.代理，代理处
agent n.代理人，试剂
aggravate v.加重，恶化
aggravation n.加重，恶化
aggregate v.,n.,adj.合计(的)
aggregation n.总计，集合
aggression n.侵略
aggressive adj.侵略的，进取的
aggressor n.侵略者
agitate v.鼓动
agitation n.鼓动，不安
ago adv....以前
agonize v.使痛苦
agony n.苦恼，痛苦
agree v.同意，一致认为
agreeable adj.惬意的，易相处的
agreeably adv.欣然，依照
agreed adj.商定的
agreement n.一致，协议
agricultural adj.农业的
agriculture n.农业
ahead adv.在...前
aid n.,v.援助，救护
aids n.(缩)艾滋病
ailment n.疾病
aim v.旨在，指向
aimless adj.无目的的
air n.空气，气派
aircraft n.航空器
airline n.航线，航空公司
airliner n.定期航班
airmail n.航空邮件
airplane n.飞机
airport n.机场
airway n.航线
aisle n.过道，走廊
ajar adv.半开的
alarm n.惊慌，警报
alarming adj.警告的
alas int.唉，哎呀
album n.相册，地图册
alcohol n.酒精
alcoholic adj.含酒精的
alcoholism n.嗜酒者，酒鬼
ale n.淡啤酒
alert adj.警惕的，灵活的
algebra n.代数
alien adj.异国的，异样的
alienate v.疏远，转让，挪用
alienation n.异化
alignment n.对准，准线
alike adj.相象的
alive adj.活着的，有生命的
all n.一切
allergic adj.过敏的，变态的
allergy n.反感，过敏
alliance n.联合，同盟
allied adj.同盟的
allocate v.分配
allocation n.分配
allot v.分配，配给
allotment n.分配，份额
allow v.允许，许可
allowance n.补助，津贴
alloy n.合金
ally v.结盟
almost adv.几乎，差不多
alone adj.单独的，仅仅
along adv.一起
