he pron.他
hi int.嗨，你好
ham n.火腿
hat n.帽子
hay n.干草
hen n.母鸡
her pron.她的，她(宾格)
hey int.嗨
him pron.他(宾格)
hip n.臀部
his pron.他的
hit v.打，碰，打击
hoe v.锄
hop v.跳跃
hot adj.热的，辣的
how adv.如何，多么，怎样
hug v.,n.紧抱
hum v.哼，嗡嗡叫
hut n.小屋
hail n.冰雹
hair n.头发，毛发
half adv.一半
hall n.大厅，会堂
halt v.,n.停住
hand n.手，人手，指针
hang v.挂，垂，绞死
hard adv.努力
hare n.野兔
harm n.,v.损害，伤害
hate v.恨，憎恶，不愿意
haul n.获得量
have v.有，不得不，拿
hawk n.鹰隼
head v.率领
heal v.治愈，医治
heap v.堆积
hear v.听见，听取，听说
heat v.加热
heed v.,n.注意，留心
heel n.后跟
heir n.继承人
hell n.地狱，苦境
help v.,n.帮助，有助于
herb n.药草
herd n.(牲畜)群
here adv.这里，在这里
hero n.英雄，男主角
hide v.躲藏，隐瞒，掩盖
high adj.高的，高度的
hike n.,v.徒步郊游
hill n.小山，丘陵
hind adj.后面的，后部的
hint v.暗示
hire v.租，雇佣
hiss v.,n.(发)嘶嘶声
hold n.控制
hole n.洞，孔穴
holy adj.神圣的，圣洁的
home adv.回家
hook v.钩住
hope v.,n.希望，愿望
horn n.角，触须，号角
hose n.软水管，长统袜
host n.一大群，男主人
hour n.小时，点钟
howl v.,n.嚎叫，嚎哭
huge adj.庞大的，巨大的
hull n.豆荚，外壳，船壳
hunt v.打猎，搜索，寻找
hurl v.猛掷，猛投
hurt v.使受伤，使痛，伤害
hush n.沉默
hymn n.赞美诗，赞歌
habit n.习惯
hairy adj.毛发的，多毛的
halve v.对分，减半
handy adj.方便的，近便的
happy adj.高兴的，幸运的
hardy adj.耐劳的，耐寒的
harsh adj.刺耳的，严厉的
haste n.急忙，急速
hasty adj.急促的，草率的
hatch v.孵化，策划
haunt v.萦绕，作崇
heart n.心，心肠，中心
heave v.起伏，举起，叹气
heavy adj.星的，繁重的
hedge n.树篱，套期保值
hello int.喂，你好
hence adv.因此，由此
hinge n.合页，绞链
hobby n.嗜好，业余爱好
hoist v.升起，扯起
honey n.蜂蜜
honor v.尊敬
horse n.马
hotel n.旅馆
hound v.追逐
house n.房子，剧场，家
hover v.翱翔，盘旋，徘徊
human adj.人的，人类的
humid adj.湿的，潮湿的
humor n.幽默(感)，心情
hurry v.赶紧，急忙，急运
haggle n.争论，讨价还价
hammer v.锤击
hamper v.妨碍
handle n.把
hanger n.衣架
happen v.发生，碰巧，出事
harbor n.港口，停泊处
harden v.硬化，变硬
hardly adv.刚刚，几乎不
hasten v.赶紧，加快
hatred n.憎恶，敌意
hazard n.危险
health n.健康(状况)
hearth n.壁炉，炉边
hearty adj.衷心的，热诚的
heated n.激烈的，热烈的
heaven n.天空，天堂
height n.高度，顶点
helmet n.头盔
herald n.先兆，先驱
herbal adj.草药的
hereby adv.以此
herein adv.在此
hereof adv.在本文件中
hereto adv.对此
heroic adj.英雄的，英勇的
highly adv.十分，赞许地
hijack v.拦路抢劫
hinder v.妨碍，阻止
hoarse adj.嘶哑的，沙哑的
holder n.持有人，支架
hollow adj.空心的，凹陷的
homely adj.家常的，简便的
honest adj.诚实的，正直的
horror n.恐惧，恐怖
hostel n.廉价旅馆
hotdog n.热狗(面包)
humane adj.人慈的
humble adj.谦卑的，卑贱的
hunger n.饥饿，渴望
hungry adj.饥饿的，渴望的
hunter n.猎人，搜索者
hurrah n.喝彩声
hustle v.奔忙
haggard adj.消瘦的，憔悴的
haircut n.理发
hairpin n.发卡
halfway adv.半途
handbag n.手袋，手提包
handful adj.一把，少量
handout n.分发物(印刷品等)
happily adv.幸运地
harmful adj.有害的
harmony n.融洽，和谐
harness v.支配，治理
harvest v.,n.收获
hateful adj.可恨的，可憎的
haughty adj.傲慢的
heading n.标题
healthy adj.健康的
hearing n.听力，审讯
heating n.取暖，供热
heavily adv.重，沉重的
heiress n.女继承人
helpful adj.有用的
heroine n.女英雄，女主角
herself pron.她自己
hideous adj.骇人听闻的
highway n.公路
himself pron.他自己
history n.历史
holding n.支持，控股
hold-up n.停顿，耽误
holiday n.节日，假日
honesty n.诚实，正直
hopeful adj.有希望的
horizon n.地平线，视野
horrify v.使恐惧
hostage n.人质
hostess n.女主人，女主持人
hostile adj.怀敌意的
however adv.可是，然而
hundred num.一百
husband n.丈夫
hygiene n.卫生
habitual adj.习惯的，惯常的
hallmark n.标志
handbook n.手册
handicap v.妨碍
handling n.处理，管理
handsome adj.漂亮的，得体
hardness n.坚硬，硬度
hardship n.困苦，艰难
hardware n.硬件
harmless adj.无害的，无恶意的
headache n.头疼，头疼的事
headline n.通栏标题
headlong ad.头向前地，卤莽地
heartily adv.精神饱满的
hedgehog n.刺猬
heighten v.加高，增加
helpless adj.无用的，无效的
herewith adv.与此一道
hesitant adj.犹豫的
hesitate v.犹豫，不想
highland n.高地
hijacker n.栏路抢劫者
hillside n.山坡，山腰
historic adj.历史性的
hitherto adv.迄今，到那时
homeless adj.无家可归的
homesick n.思乡的
homework n.家庭作业
hopeless adj.无望的，绝望的
horrible adj.可怕的，糟透的
hospital n.医院
humanism n.人道主义
humanity n.人类，人性
humidity n.湿度，湿气
humorous adj.幽默的，诙谐的
hydrogen n.氢，氢气
hysteria n.歇斯底里，癔病
hysteric adj.亢奋的
hairdress n.美发
hamburger n.汉堡包
haphazard adj.偶然的
happening n.事件
happiness n.幸福
heartfelt adj.衷心的
hereafter adv.此后
hindrance n.障碍(物)
historian n.历史学家
hitchhike v.搭车旅行
honeymoon n.蜜月
honorable adj.可尊敬的，体面的
hopefully adv.可以指望
hotelling n.旅馆业
household adj.家庭的
housewife n.家庭主妇
housework n.家务
humiliate v.使受辱
hundredth num.第一面，百分之一
hydraulic adj.水力的，液压的
hypocrisy n.伪善
harmonious adj.和睦的，和谐的
headmaster n.(中、小学)校长
helicopter n.直升飞机
hemisphere n.半球，领域
henceforth adv.今后
hesitation n.犹豫，踌躇
hinterland n.内地
historical adj.历史的
homogenous adj.同质的，同类的
horizontal adj.水平的，横的
horsepower n.马力
hospitable adj.好客的
hypothesis n.假设，前提
handicapped adj.有残疾的
handwriting n.手写，书法，笔迹
hereinafter adv.以下
hospitality n.好客，款待
housekeeper n.看门人，保姆
humiliation n.羞辱，耻辱
handkerchief n.手帕，手绢
hard-working adj.勤劳的
headquarters n.司令部，总部
humanitarian n.慈善家
hypothetical adj.假设的
hydroelectric adj.水电的
