pace   n.步，速度，步调
pacific   n.太平洋
pack   v.包装，挤满 n.背包
package   n.包裹 v.打包
packaging   n.包装
packet   n.一盒，小件包裹
packing   n.装箱，收拾行李
pad   n.垫，便笺本
page   n.(书)页
pail   n.提桶
pain   n.疼痛，悲痛 v.作痛
painful   adj.痛苦的
paint   n.涂料，油漆 v.刷漆
painter   n.画家，油漆匠
painting   n.画，绘画(艺术)
pair   n.对，双，夫妇
palace   n.宫殿
pale   adj.苍白的，淡的
palm   n.手掌，掌心，棕榈树
pamphlet   n.小册子
pan   n.平底锅
panda   n.熊猫
pane   n.窗(门)玻璃
panel   n.镶板，仪表盘，小组
panic   n.,v.恐慌，惊慌
panorama   n.全景
panoramic   adj.全景的
pant   n.,v.喘气
panther   n.豹，美洲豹
pantry   n.配膳室，食品室
pants   n.长裤，衬裤
paper   n.纸，报纸，文件
papercut   n.剪纸，刻纸
papercutting   n.剪纸艺术
papers   n.文件，证书
par   n.(跟)原价相等
parachute   n.降落伞
parade   n.,v.游行
paradise   n.天堂，天国
paragraph   n.段落，节
parallel   adj.平行的，类似的
paralyse   v.使麻痹，惊呆
parameter   n.参数，参量
parasite   n.寄生虫，寄生物
parcel   n.包裹，邮包
pardon   n.,v.原谅，赦免
parent   n.父或母亲，母体
paris   n.巴黎
parish   n.教区
park   n.公园 v.停放车辆
parking   n.停放车辆
parliament   n.议会，国会
parlimental   adj.国会的，议会的
parlor   n.客厅
parrot   n.鹦鹉
part   n.部分，零件，角色
partial   adj.局部的，偏颇的
partially   adv.局部地，部分地
participant   n.参加者，参与者
participate   v.参与，分享
participation   n.参加，参与
particle   n.颗粒，微粒，虚词
particular   adj.特殊的 n.项目
particularly   adv.特别地
partition   v.,n.划分，隔开
partly   adv.部分地
partner   n.伙伴，合伙人，搭档
partnership   n.伙伴关系，合伙
part-time   adj.计时(干活)的
party   n.聚会，政党，一方
pass   v.经过，传给 n.关口
passable   adj.过得去的
passage   n.一段，通过，通道
passenger   n.旅客，乘客
passion   n.激情，热衷
passionate   adj.多情的，热烈的
passive   adj.被动的，消极的
passport   n.护照
past   adj.过去的 n.过去
past-due   adj.过期的
paste   n.浆糊，糊状物
pastime   n.消谴，娱乐
pasture   n.牧场
pat   n.,v.轻拍，抚摸
patch   n.补丁，眼罩
patent   n.专利权，专利证
path   n.小径，路线
pathetic   adj.凄婉动人的
patience   n.耐心，忍耐力
patient   adj.耐心的 n.病人
patriot   n.爱国者
patriotic   adj.爱国的
patriotism   n.爱国主义
patrol   v.巡逻 n.巡逻队
patron   n.赞助人，保护人
patronage   n.保护人身分
pattern   n.模式，式样，图案
pause   v.,n.暂停，中止
pave   v.铺路，为..铺平道路
pavement   n.人行道
paw   n.脚瓜
pawn   v.产卵
pay   v.支付 n.工资
payable   adj.支付给...的
payment   n.支付，付款
pea   n.豌豆
peace   n.和平，平静，和约
peaceful   adj.和平的，平静的
peach   n.桃子
peacock   n.孔雀
peak   n.顶点，巅，山峰
peanut   n.花生
pear   n.梨
pearl   n.珍珠
peasant   n.农民
peasantry   n.农民(总称)
pebble   n.鹅卵石
peck   v.啄
peculiar   adj.古怪的，独特的
peculiarity   n.特性，怪癖
pedal   n.踏板 v.骑车
pedestrian   n.行人
pedlar   n.小贩
peel   n.果皮 v.削、剥皮
peep   v.偷看，窥视
peer   n.同行 v.盯，凝视
peg   n.桩 v.(汇率)钉住
pen   n.钢笔，栏，圈
penalty   n.刑罚，处罚，罚款
pencil   n.铅笔
pending   adj.未决的，紧迫的
penetrate   v.贯穿，穿透，弥漫
penetration   n.贯穿，洞察力
penicillin   n.青霉素，盘尼西林
peninsular   n.半岛
penny   n.便士
pension   n.养老金，年金
people   n.人们，人民，人员
pepper   n.胡椒
per   prep.每，由，按照
perceive   v.知觉，觉察，领悟
percent   n.每百，百分之
percentage   n.百分率
perception   n.感觉，理解力
perch   v.栖息
perfect   adj.完美的，完备的
perfection   n.完成，完善
perfectly   adv.完全地，完美地
perform   v.执行，表演
performance   n.执行，演出
performer   n.执行者，表演者
perfume   n.香味，香水
perhaps   adv.也许，多半
peril   n.危难，巨大危险
perimeter   n.周长
period   n.时期，句号
periodic   adj.周期的，定时的
periodical   n.期刊
peripheral   adj.边缘的，周边的
perish   v.死亡，枯萎
permanence   n.永久，持久
permanent   n.永久性的，持久的
permanently   adv.永久地
permission   n.允许，许可
permissive   adj.允许的，许可的
permit   v.允许 n.许可证
perpendicular   adj.垂直的
perpetual   adj.永久的，永恒的
perplex   v.迷惑，难住
persecute   v.迫害
persecution   n.迫害
persevere   v.坚持
perseverance   n.坚持
persist   v.坚持，固执，持续
persistence   n.坚持，持续
person   n.人，人称，身体
personal   adj.私人的，个人的
personality   n.人格，个性，人物
personally   adv.亲自，就个人而言
personnel   n.全体人员，人事部门
perspective   n.展望，观点，透视
persuade   v.说服，劝导
persuasion   n.说服，信念
pertain   v.属于
pertinence   n.中肯
pertinent   adj.中肯的，恰当的
perturb   v.扰乱
perturbed   adj.烦燥不安的
perusal   n.细读
peruse   v.仔细阅读，审查
pessimist   n.悲观(主义)
pessimistic   adj.悲观的
pest   n.害虫
pet   n.爱畜，宠儿
petition   v.,n.请愿(书)
petrol   n.石油，汽油
petroleum   n.石油
petty   adj.细小的，不重要的
phase   n.阶段，时期，侧面
phenomenon   n.现象，非凡的人
philosopher   n.哲学家
philosophical   adj.哲学上的
philosophy   n.哲学，基本原则
phone   n.电话 v.打电话
phonetics   n.语音学
photo   n.照片
photograph   n.照片 v.拍照
photographer   n.摄影师
photography   n.摄影术
photostatic   adj.静电复印的
phrase   n.词组，短语
physical   adj.身体的，物质的
physically   adv.物质上，身体上
physician   n.内科医生
physicist   n.物理学家
physics   n.物理学
pianist   n.钢琴家
piano   n.钢琴
pick   v.拣，采 n.精华，镐
pickle   n.腌渍品，泡菜
pickpocket   n.扒手，小偷
picnic   n.,v.郊游，野餐
pictorial   n.画报
picture   n.图片，画，照片
picturesque   adj.风景如画的
pie   n.馅饼
piece   n.件，片段，张
pier   n.码头，栈桥
pig   n.猪
pigeon   n.鸽子
pigment   n.色料
pile   n.堆 v.堆积
pilferage   v.偷窃
pilgrim   n.香客，朝圣者
pilgrimage   n.朝圣
pill   n.药片，药丸
pillar   n.柱子
pillow   n.枕头
pilot   n.飞行员，领航员
pin   n.别针，发卡 v.别住
pinch   v.捏，掐，挤痛
pine   n.松树
pineapple   n.菠萝
pink   adj.,n.桃色，粉红色
pint   n.品脱(容量单位)
pioneer   n.先驱者 v.倡导
pioneering   n.先驱的
pious   adj.虔诚的
pipe   n.管子，烟斗
pipeline   n.管道，管线
pirate   n.海盗 adj.盗版的
pistol   n.手枪
piston   n.活塞
pit   n.坑，洼，煤矿，桃核
pitch   v.搭帐篷，投掷
pitcher   n.水罐
pity   n.怜悯，惋惜，憾事
place   n.地方，位置 v.放置
plague   n.瘟疫
plain   adj.明白的，朴素的
plan   n.计划,平面图 v.打算
plane   n.水平，平面，飞机
planet   n.行星
plant   n.植物，工厂 v.栽培
plantation   n.种植园
plaster   n.灰泥 v.粘贴
plastic   n.塑料 adj.可塑的
plastics   n.塑料(制品)
plate   n.盘子，金属牌
plateau   n.高原，高地
platform   n.讲台，站台，政纲
platinum   n.白金
play   v.玩，扮演，演奏
player   n.选手，演奏者
playground   n.运动场，操场
playmate   n.游伴
playwright   n.剧作家
plea   n.请求，恳求，辩解
plead   v.恳求，辩解
pleasant   adj.令人愉快的
please   v.使高兴，喜欢，请
pleased   adj.高兴的，乐意的
pleasure   n.快乐，乐事，乐趣
pledge   n.暂约，抵押 v.保证
plenary   adj.完全的
plentiful   adj.大量的，丰富的
plenty   n.大量，丰富
plight   n.保证，困境
plot   n.阴谋，情节 v.密谋
plough   n.,v.犁
pluck   v.拔，摘 n.勇气
plug   n.塞子，插头 v.堵住
plumb   v.测锤，垂直
plumber   n.管子工
plume   n.羽毛，羽饰
plump   adj.丰满的
plunder   v.,n.掠夺，抢劫
plunge   v.插进，跳入
plural   adj.复数的
plus   prep.加 n.加号，正号
ply   v.出力，努力从事
