oak   n.橡树，栎树
oar   n.橹，桨
oath   n.誓言，誓约
obedience   n.服从，顺从
obedient   adj.服从的，顺从的
obey   v.服从，遵守
object   n.物体，目的 v.反对
objection   n.反对，异议，不愿
objective   n.目标 adj.客观的
obligation   n.义务，责任
oblige   v.责成，使感激
obliterate   adj.删去，抹掉
oblong   adj.椭圆形的
obscure   adj.无名的 v.遮蔽
observance   n.仪式，习惯
observation   n.观察，评述
observe   v.观察，遵守，注视
observer   n.观察员
obstacle   n.障碍(物)
obstinate   adj.固执的，顽强的
obstruction   n.堵塞，妨碍
obtain   v.获得
obtainable   adj.可得到的
obvious   adj.明显的
obviously   adv.明显地，显然
occasion   n.场合，盛事，机会
occasional   adj.偶然的，有时的
occasionally   adv.偶而，有时
occident   n.西方
occidental   adj.西方的，西洋的
occupation   n.职业，占有
occupy   v.占据，占领，担任
occur   v.发生，出现，想到
occurrence   n.发生，出现，事件
ocean   n.海洋，大洋
oceania   n.大洋洲
oceanography   n.海洋学
o'clock   adv.点钟
october   n.十月
odd   adj.古怪的，奇数的
odour   n.气味
of   prep..的(表示领属等)
off   adv....去 prep.离开
off-duty   adj.不当班的
offence   n.过错，冒犯，攻击
offend   v.冒犯，得罪
offensive   adj.冒犯的，攻击的
offer   v.,n.提供，报盘
offering   n.报盘，提供的货物
off-grade   adj.等外的，质差的
office   n.办公室，事务所
officer   n.军官，警官，官员
official   n.官员 adj.官方的
offset   v.抵消，弥补
offspring   n.子女，子孙
often   adv.经常，常常
oh   int.哦，嗬
oil   n.油，石油
o.k.   adj.,n.(缩)对，行
old   adj.老的，...岁的
olive   n.橄榄(树)
omen   n.前兆
ominous   adj.不祥的
omission   n.省略
omit   v.省略，遗漏
on   prep.在...上，关于
once   adv.一度，一次
one   num.,n.一，一个
oneself   pron.自己，自身
onion   n.洋葱
only   adj.唯一的 adv.仅仅
onset   n.攻击，着手
onto   prep.到...上
onward   adv.,adj.向前(的)
opal   n.蛋白石
opaque   adj.不透明的
open   adj.开的 v.打开
opener   n.开罐器，起子
opening   n.开始，通路，孔
opera   n.歌剧
operate   v.运转，操作，开刀
operation   n.操作，生效，手术
operational   adj.业务上的，操作的
operative   adj.有效的
operator   n.操作人员，接线员
opinion   n.意见，评论，看法
opium   n.鸦片
opponent   n.对手，敌手
opportune   adj.及时的，凑巧的
opportunity   n.机会，机遇，时机
oppose   v.反对，反抗
opposite   adj.对立的，对面的
opposition   n.敌对，反抗
oppress   v.压抑，压迫，压制
oppression   n.压迫
optical   adj.视觉的，光学的
optimal   adj.最佳的
optimism   n.乐观(主义)
optimistic   adj.乐观(主义)的
optimize   v.最佳化
optimum   n.最佳条件
option   n.选择，可选择的东西
optional   adj.可任选的，随意的
or   conj.或者，即，否则
oral   adj.口头的，口的
orange   n.柑桔，橙色
orbit   n.轨道
orchard   n.果园
orchestra   n.管弦乐队，交响乐
order   n.命令，订货，次序
orderly   adj.整齐的 n.勤务员
ordinarily   adv.通常
ordinary   adj.普通的，一般的
ore   n.矿石，矿物
organ   n.器官，风琴
organic   adj.器官的，有机的
organism   n.有机体
organization   n.组织，团体
organizational   adj.组织的
organize   v.组织，筹备，编排
orient   n.东方 v.定方针
oriental   adj.,n.东方的(人)
orientation   n.定向，倾向性
origin   n.起源，产地
original   adj.原始的 n.原物
originality   n.独创性
originally   adv.原来，当初
originate   v.起源，首创
ornament   n.装饰(品)
ornamental   adj.装饰的
orphan   n.孤儿
oscillation   n.摆动，振动
other   adj.其他的，别的
otherwise   adv.另外的 conj.否则
ought   v.应该，大概
ounce   n.盎司
our   pron.我们的
ourselves   pron.我们自己
out   adv.出外，向外，完
outbreak   n.爆发，发作
outcome   n.结果
outdoor   adj.野外的，露天的
outdoors   adv.在外的，在野外的
outer   adj.外部的，外面的
outermost   adj.最外的
outland   n.偏僻地区
outlandish   adj.外国的
outlaw   n.逃犯，歹徒
outlay   n.费用，支出
outlet   n.出口，销路
outline   n.轮廓，略图，大纲
outlook   n.看法，景色，展望
output   n.出产，产量
outrage   n.暴行
outrageous   adj.残暴的
outright   adj.公然地，直率地
outset   n.开头，起初
outside   n.外部 adv.在外面
outsider   n.局外人
outskirts   n.郊区
outstanding   adj.杰出的，未付款的
outturn   n.卸货情况
outward   adj.,adv.向外(的)
oval   adj.椭圆(形)的
oven   n.烤炉，锅灶
over   prep.在...上方，越过
overall   adj.总的，全面的
overcast   adj.多云的
overcharge   v.,n.多收(的)钱
overcoat   n.外套，大衣
overcome   v.征服，克服，压倒
overestimate   v.估计过高
overextend   v.使..承担过多的义务
overflow   v.泛滥，溢出，满怀
overhead   adv.,adj.头上(的)
overhear   v.偶然听到，偷听
overjoy   n.使大喜
overlap   v.重叠
overlapping   adj.相互重叠的
overload   v.,n.超载
overlook   v.视察，俯瞰，宽容
overnight   adv.,adj.终夜(的)
overpayment   n.多付的款项
overseas   adv.,adj.海外(的)
oversight   n.监视，疏忽
overtake   v.赶上，压倒
overthrow   v.推翻，颠覆
overtime   n.超时，加班
overwhelm   v.压倒，淹没
overwhelming   adj.压倒的
owe   v.欠，归功于
owing   adj.该付的
owl   n.猫头鹰
own   adj.自己的 v.拥有
owner   n.物主，所有人
ownership   n.所有权，所有制
ox   n.公牛
oxide   n.氧化物
oxygen   n.氧，氧化
oyster   n.牡蛎，蚝
