rabbit   n.兔子
race   n.种族，竞赛 v.赛跑
racial   adj.种族的，人种的
rack   n.搁班，行李架
racket   n.喧闹，球拍
radar   n.雷达
radial   adj.放射的，辐射的
radiant   adj.发光的
radiate   v.辐射，放射，发光
radiation   n.辐射，发射
radical   adj.基本的，激进的
radio   n.无线电，收音机
radioactive   adj.放射性的
radioactivity   n.放射性
radish   n.萝卜
radium   n.镭
radius   n.半径，活动范围
rag   n.抹布，破衣服
rage   n.盛怒，流行 v.大怒
raid   v.袭击，搜查
rail   n.栏杆，钢轨
railroad   n.铁路
railway   n.铁路，铁路公司
rain   n.雨 v.下雨
rainbow   n.虹
raincoat   n.雨衣
rainfall   n.下雨，降雨量
rainy   adj.有雨的
raise   v.举起，提高，唤起
rake   n.,v.耙
rally   n.,v.集会
ramble   n.漫步
ranch   n.牧场
random   adj.胡乱的，随便的
range   n.射程，范围，一系列
rank   n.军衔，等级 v.排列
rapid   adj.快的，急速的
rapidly   adv.迅速地，急速地
rapture   n.狂喜
rare   adj.稀有的，罕见的
rarely   adv.难得，少有
rascal   n.无赖，恶棍
rash   adj.轻率的，鲁莽的
rat   n.老鼠，耗子
rate   n.比率，速度，费率
rather   adv.相当，颇，宁愿
ratification   n.批准，认可
ratify   v.批准，认可，追认
ratio   n.比，比率
ration   n.理性
rational   adj.合理的，有理性的
rattle   v.,n.嘎吱响
ravage   n.破坏，暴力
raw   adj.生的，未加工的
ray   n.光线，射线，辐射
razor   n.剃须刀
re   prep.关于
reach   v.到达，伸手，够到
react   v.反应，起反应，反抗
reaction   n.反应，反动
reactionary   adj.反动的
reactor   n.反应堆
read   v.读，阅读，朗诵
reader   n.读者，读本
readily   adv.容易地，乐意地
reading   n.读书，读数，读本
ready   adj.准备好的，乐意的
real   adj.真的，纯粹的
realism   n.现实主义，写实主义
realist   n.adj.现实主义者(的)
realistic   adj.现实的，实在的
reality   n.现实，真实性
realization   n.实现
realize   v.认识到，实现，执行
really   adv.真正地，果然
realm   n.王国，领域
reap   v.收割，收获
rear   n.后部 adj.后面的
reason   n.原因，理由 v.推论
reasonable   adj.有理的，讲理的
reasonably   adv.合理地，适当地
reassure   v.使...放心
rebate   n.回扣，折扣
rebel   v.起义，反叛
rebellion   n.叛乱，起义
rebuke   v.斥责
recall   v.想到，召回，取消
recede   v.归还，撤回
receipt   n.收到，收据
receive   v.收到，接待， 接见
receiver   n.受领人，听筒
recent   adj.近来的，新近的
recently   adv.近来，最近
reception   n.招待会，欢迎会
receptionist   n.接待员
recession   n.衰退
recipe   n.菜谱，配方
recipient   n.接受者
reciprocal   adj.相互的，互易的
recitation   n.朗诵
recite   v.背诵，朗诵，讲述
reckless   adj.鲁莽的
reckon   v.数，计算，认为
reclaim   v.收回，开垦
recognition   n.认出，承认
recognize   v.认出，识别，承认
recollect   v.回忆，追想
recollection   n.回忆
recommend   v.推荐，介绍，劝告
recommendation   n.推荐(书)
recompense   v.,n.回报，赔偿
reconcile   v.使和好，调停
reconnaissance   n.探索，勘查
record   v.记录，录音 n.记录
recorder   n.记录员，录音机
recourse   n.求助
recover   v.寻回，恢复，复原
recovery   n.寻回，恢复
recreation   n.消遣，文娱活动
recruit   v.招募，征兵
recruitment   n.招募
rectangle   n.长方形，矩形
rectification   n.纠正
rectify   v.纠正，订正
recur   v.再发生，复发
recurrence   n.再发生
red   adj.红的 n.红色
redeem   v.买回，赎回
redound   v.增加，促进
reduce   v.减少，贬为
reduction   n.减少，缩减
reed   n.芦苇，芦笛
reef   n.礁石
reel   n.卷，线轴 v.卷绕
reexport   v.再出口
refer   v.查阅，提及
referee   n.裁判员
reference   n.参考(书)，推荐书
referent   n.被谈到的事
refine   v.精炼，精制
refined   adj.精炼的，精的
refinement   n.精炼
refinery   n.精炼厂
reflect   v.反射，反映，反省
reflection   n.反射，映象，反思
reform   v.,n.改革，改造
refrain   v.抑制
refresh   v.使清醒，使振作
refreshment   n.茶点，饮料
refrigerator   n.冰箱
refuge   n.藏身处，避难所
refugee   n.难民
refund   v.再投资,归还 n.退款
refusal   n.拒绝，谢绝
refuse   v.拒绝 n.渣，废物
refute   v.驳斥，反驳
regard   v.认为，尊重，关于
regarding   prep.关于
regardless   adj.,adv.不顾的(地)
regime   n.政体，制度
regiment   n.团，大量
region   n.地区，地域，地带
regional   adj.地区的，区域的
regionalization   n.区域化
regionalize   v.使区域化
register   v.登记，注册，挂号
registered   adj.登记的，注册的
registration   n.登记
regret   v.懊悔 n.遗憾
regretful   adj.遗憾的
regretfully   adv.遗憾地
regrettable   adj.可遗憾的
regular   adj.正常的，有规律的
regularity   n.整齐，规律
regularly   adv.整齐地，有规律地
regulate   v.管理，调整
regulation   n.管理，规则，法令
rehearsal   n.排练，彩排
rehearse   v.排练
reign   n.统治 v.统治，盛行
reimburse   v.偿还
reimbursement   n.偿还，还款
rein   n.缰绳 v.驾驭，约束
reinforce   v.增援，加强
reinforcement   n.加强，援兵
reiterate   v.重申
reject   v.拒绝
rejection   n.拒绝
rejoice   v.欢欣，使喜悦
relate   v.叙述，关联，涉及
related   adj.与...有关的
relation   n.关系，得害关系
relationship   n.关系，联系
relative   n.亲戚 adj.有关系的
relatively   adv.比较地，相对地
relativity   n.相关性，相对论
relax   v.松弛，舒张，休息
relaxation   n.放松，松弛
relay   v.转播，中继
release   v.释放，透露，发行
relevant   adj.相关的
reliability   n.可靠性
reliable   adj.可靠的，可依赖的
reliance   n.依靠，信赖
relief   n.解除，减轻，安慰
relieve   v.解除，减轻，换班
