vacacy   n.空缺，空位
vacant   adj.空的，闲置的
vacation   n.假期
vaccinate   v.接种疫苗
vaccination   n.接种
vacuum   n.真空
vague   adj.含糊的，不清楚的
vain   adj.徒然的，自负的
vainly   adv.徒劳地
valian   n.坏蛋
valid   adj.正当的，有效的
validity   n.有效，确实
valley   n.山谷
valuable   adj.宝贵的，有价值的
value   n.价值 v.评价，估价
valued   adj.宝贵的
valve   n.阀门
van   n.小货车，面包车
vanish   v.消失，消散
vanity   n.虚荣心，浮华
vapor   n.水汽，蒸汽
variable   adj.可变的 n.变量
variance   n.分歧，不一致
variant   adj.不同的，不一致的
variation   n.变化，变更
varied   adj.不同的
variety   n.多样(性)，品种
various   adj.各种各样的
varnish   n.清漆
vary   v.变化，使多样化
vase   n.花瓶
vast   adj.巨大的，宏大的
vault   n.拱顶
vegetable   n.蔬菜，植物
vehicle   n.运载工具
veil   n.面纱，账，托辞
vein   n.静脉，矿脉，脉
velocity   n.速度，速率
velvet   n.丝绒 adj.柔软的
vender   n.商贩
vengeance   n.报复，复仇
ventilate   v.换气，自由讨论
ventilation   n.通风
venture   n.,v.冒险
venus   n.金星
verb   n.动词
verbal   adj.文字的，口头的
verge   n.边缘，界限
verification   n.检验
verify   v.检验，证实
versatile   adj.多才多艺的
verse   n.诗，韵文
version   n.译文，译本，看法
versus   prep.对
vertical   adj.垂直的
very   adv.很，非常
vessel   n.船只，容器，血管
vest   n.背心，汗衫
veteran   n.老手，老兵
veto   v.,n.否决(权)
vex   v.使烦恼
via   prep.经由，取道
vibrate   v.振动，战栗
vibration   n.振动，颤动
vice   n.坏事，恶习
vicinity   n.邻近，附近，接近
vicious   adj.邪恶的，不道德的
victim   n.受害者
victorious   adj.胜利的，成功的
victory   n.胜利
video   adj.电视的，视频的
view   n.视域，景色，见解
viewer   n.观察者，电视观众
viewpoint   n.观点，看法
vigor   n.活动，精力，元气
vigorous   adj.精力旺盛的
villa   n.别墅
village   n.村庄
villain   n.坏蛋
vine   n.藤，葡萄树
vinegar   n.醋
violate   v.违犯，违背
violation   n.违犯，侵犯
violence   n.猛烈，暴力，暴行
violent   adj.猛烈的，暴力的
violet   n.紫罗兰，紫色
violin   n.小提琴
virgin   adj.处女的 n.处女
virtual   adj.实质上的
virtually   adj.几乎，差不多
virtue   n.善，美德，优点
virus   n.病毒
visa   n.签证
viscous   adj.粘的
visible   adj.看得见的
vision   n.视觉，视力，想象力
visit   v.,n.访问，参观
visitor   n.客人，来宾，来访者
visual   adj.视觉的
vital   adj.必不可少的
vitamin   n.维生素
vivid   adj.鲜艳的
vividly   adv.生动地
vividness   n.生动(性)
vocabulary   n.词汇，词汇表、量
vocation   n.职业
vogue   n.时尚，时髦
voice   n.声音，嗓音 v.吐露
voiceless   adj.无声的
void   adj.空的，无效的
volcano   n.火山
volley   n.,v.齐射
volleyball   n.排球
volt   n.伏特
voltage   n.电压
volume   n.卷，册，量，体积
voluntary   adj.自愿的，志愿的
volunteer   n.志愿者 v.志愿
vote   n.投票(权)，得票数
voter   n.投票人，选举人
voting   adj.有投票权的
vouch   v.担保
voucher   n.凭证，收据
vow   v.,n.许愿，发誓
vowel   n.元音
voyage   n.,v.航行
vulgar   adj.低级趣味的
vulnerability   n.易损性
vulnerable   adj.晚受损害的
