b.c. (缩)公元前
b/l n.(缩)提单
baby n.婴儿，年龄最小的人
baby-sit v.(替人)看护小孩
baby-sitter n.看护小孩的人
bachelor n.单身汉，学士
back adj.背后的
backbone n.脊梁骨
backdate v.回溯
background n.背景，经历
backing n.倒退，支持物
backlog n.未交付的订货
backward adv.向后，逆
backwardness n.落后(状态)
bacon n.咸肉，熏肉
bacterium n.细菌
bad adj.坏的，低劣的
badge n.徽章
badly adv.坏，非常，严重地
badminton n.羽毛球
baffle v.困扰，难倒
bag n.袋子，提包
baggage n.行李
baggy adj.袋状的
bait n.饵，诱饵
bake v.烤，烘
baker n.面包师
bakery n.面包店
balance n.平衡，天平，余额
balcony n.阳台
bald adj.秃的
ball n.球，球状物，舞会
ball-point n.圆珠笔
ballet n.芭蕾舞
balloon n.气球
ballooning n.热气球飞行运动
ballroom n.舞厅
bamboo n.竹
bamboo-shoot n.竹笋
banana n.香蕉
band v.联合
bandage n.绷带
bandit n.盗匪，歹徒
bang n.,v.砰的一响
bank n.岸，银行
banker n.银行家
banking n.银行业务、金融业
bankrupt n.,v.,adj.破产
banner n.旗帜，横幅
banquet n.宴会
bar n.棒，杆，酒吧
barber n.理发师
bare adj.裸的，直率的
barely adv.赤裸裸地
bargain n.交易，便宜货
barge n.驳船
bark v.吠
barn n.谷仓，牲口棚
barometer n.晴雨表，标记
baron n.男爵
baroness n.男爵夫人，女男爵
barrel n.桶，枪(炮)管
barren adj.不育的，贫瘠的
barrier n.障碍，壁垒
barter n.易货贸易
base v.基于
baseball n.棒球
basement n.地下室，地窖
basic adj.基本的，基础的
basically adv.基本上，主要地
basin n.盆，盆地
basis n.基础，根据
basket n.篮子，筐
basketball n.篮球
bat v.击打
bath n.洗澡，浴室
bathe v.洗澡，冲洗
bathroom n.浴室，洗手间
batter v.打击
battery n.电池
battle n.战斗，战役
bay n.海湾，湾
bazaar n.集市
be v.是，存在
beach n.海滩，湖滨
bead n.有孔小珠
beak n.鸟嘴
beam v.发光
bean n.豆子
bear v.负担，忍受，生育
bearing n.举止，意义，轴承
bearish adj.熊市的
beast n.野兽，牲畜
beat n.击打
beautiful adj.美丽的，绝妙的
beauty n.美，美女
because conj.因为，由于
become v.变成
bed n.床，河床，苗圃
bedroom n.卧室
bee n.蜜蜂
beef n.牛肉
beer n.啤酒
