habit   n.习惯
habitual   adj.习惯的，惯常的
haggard   adj.消瘦的，憔悴的
haggle   n.争论，讨价还价
hail   v.欢呼 n.冰雹
hair   n.头发，毛发
haircut   n.理发
hairdress   n.美发
hairpin   n.发卡
hairy   adj.毛发的，多毛的
half   n.一半 adv.一半
halfway   adv.半途
hall   n.大厅，会堂
hallmark   n.标志
halt   v.,n.停住
halve   v.对分，减半
ham   n.火腿
hamburger   n.汉堡包
hammer   n.锤子 v.锤击
hamper   v.妨碍
hand   n.手，人手，指针
handbag   n.手袋，手提包
handbook   n.手册
handful   adj.一把，少量
handicap   n.障碍 v.妨碍
handicapped   adj.有残疾的
handkerchief   n.手帕，手绢
handle   v.处理，对待 n.把
handling   n.处理，管理
handsome   adj.漂亮的，得体
handout   n.分发物(印刷品等)
handwriting   n.手写，书法，笔迹
handy   adj.方便的，近便的
hang   v.挂，垂，绞死
hanger   n.衣架
haphazard   adj.偶然的
happen   v.发生，碰巧，出事
happening   n.事件
happily   adv.幸运地
happiness   n.幸福
happy   adj.高兴的，幸运的
harbor   n.港口，停泊处
hard   adj.硬的 adv.努力
harden   v.硬化，变硬
hardly   adv.刚刚，几乎不
hardness   n.坚硬，硬度
hardship   n.困苦，艰难
hardware   n.硬件
hard-working   adj.勤劳的
hardy   adj.耐劳的，耐寒的
hare   n.野兔
harm   n.,v.损害，伤害
harmful   adj.有害的
harmless   adj.无害的，无恶意的
harmonious   adj.和睦的，和谐的
harmony   n.融洽，和谐
harness   v.支配，治理
harsh   adj.刺耳的，严厉的
harvest   v.,n.收获
haste   n.急忙，急速
hasten   v.赶紧，加快
hasty   adj.急促的，草率的
hat   n.帽子
hatch   v.孵化，策划
hate   v.恨，憎恶，不愿意
hateful   adj.可恨的，可憎的
hatred   n.憎恶，敌意
haughty   adj.傲慢的
haul   v.拉，拖 n.获得量
haunt   v.萦绕，作崇
have   v.有，不得不，拿
hawk   n.鹰隼
hay   n.干草
hazard   n.危险
he   pron.他
head   n.头，领导 v.率领
headache   n.头疼，头疼的事
heading   n.标题
headline   n.通栏标题
headlong   ad.头向前地，卤莽地
headmaster   n.(中、小学)校长
headquarters   n.司令部，总部
heal   v.治愈，医治
health   n.健康(状况)
healthy   adj.健康的
heap   n.一堆，许多 v.堆积
hear   v.听见，听取，听说
hearing   n.听力，审讯
heart   n.心，心肠，中心
heartfelt   adj.衷心的
hearth   n.壁炉，炉边
heartily   adv.精神饱满的
hearty   adj.衷心的，热诚的
heat   n.热，热烈 v.加热
heated   n.激烈的，热烈的
heating   n.取暖，供热
heave   v.起伏，举起，叹气
heaven   n.天空，天堂
heavily   adv.重，沉重的
heavy   adj.星的，繁重的
hedge   n.树篱，套期保值
hedgehog   n.刺猬
heed   v.,n.注意，留心
heel   n.后跟
height   n.高度，顶点
heighten   v.加高，增加
heir   n.继承人
heiress   n.女继承人
helicopter   n.直升飞机
hell   n.地狱，苦境
hello   int.喂，你好
helmet   n.头盔
help   v.,n.帮助，有助于
helpful   adj.有用的
helpless   adj.无用的，无效的
hemisphere   n.半球，领域
hen   n.母鸡
hence   adv.因此，由此
henceforth   adv.今后
her   pron.她的，她(宾格)
herald   n.先兆，先驱
herb   n.药草
herbal   adj.草药的
herd   v.放牧 n.(牲畜)群
here   adv.这里，在这里
hereafter   adv.此后
hereby   adv.以此
herein   adv.在此
hereinafter   adv.以下
hereof   adv.在本文件中
hereto   adv.对此
herewith   adv.与此一道
hero   n.英雄，男主角
heroic   adj.英雄的，英勇的
heroine   n.女英雄，女主角
herself   pron.她自己
hesitant   adj.犹豫的
hesitate   v.犹豫，不想
hesitation   n.犹豫，踌躇
hey   int.嗨
hi   int.嗨，你好
hide   v.躲藏，隐瞒，掩盖
hideous   adj.骇人听闻的
high   adj.高的，高度的
highland   n.高地
highly   adv.十分，赞许地
highway   n.公路
hijack   v.拦路抢劫
hijacker   n.栏路抢劫者
hike   n.,v.徒步郊游
hill   n.小山，丘陵
hillside   n.山坡，山腰
him   pron.他(宾格)
himself   pron.他自己
hind   adj.后面的，后部的
hinder   v.妨碍，阻止
hinterland   n.内地
hindrance   n.障碍(物)
hinge   n.合页，绞链
hint   n.暗示，迹象 v.暗示
hip   n.臀部
hire   v.租，雇佣
his   pron.他的
hiss   v.,n.(发)嘶嘶声
historian   n.历史学家
historic   adj.历史性的
historical   adj.历史的
history   n.历史
hit   v.打，碰，打击
hitchhike   v.搭车旅行
hitherto   adv.迄今，到那时
hoarse   adj.嘶哑的，沙哑的
hobby   n.嗜好，业余爱好
hoe   n.锄头 v.锄
hoist   v.升起，扯起
hold   v.握住，容纳 n.控制
holder   n.持有人，支架
holding   n.支持，控股
hold-up   n.停顿，耽误
hole   n.洞，孔穴
holiday   n.节日，假日
hollow   adj.空心的，凹陷的
holy   adj.神圣的，圣洁的
home   n.家，故乡 adv.回家
homeless   adj.无家可归的
homely   adj.家常的，简便的
homesick   n.思乡的
homework   n.家庭作业
homogenous   adj.同质的，同类的
honest   adj.诚实的，正直的
honesty   n.诚实，正直
honey   n.蜂蜜
honeymoon   n.蜜月
honor   n.荣誉，名誉 v.尊敬
honorable   adj.可尊敬的，体面的
hook   n.钩 v.钩住
hop   v.跳跃
hope   v.,n.希望，愿望
hopeful   adj.有希望的
hopefully   adv.可以指望
hopeless   adj.无望的，绝望的
horizon   n.地平线，视野
horizontal   adj.水平的，横的
horn   n.角，触须，号角
horrible   adj.可怕的，糟透的
horrify   v.使恐惧
horror   n.恐惧，恐怖
horse   n.马
horsepower   n.马力
hose   n.软水管，长统袜
hospital   n.医院
hospitable   adj.好客的
hospitality   n.好客，款待
host   n.一大群，男主人
hostage   n.人质
hostel   n.廉价旅馆
hostess   n.女主人，女主持人
hostile   adj.怀敌意的
hot   adj.热的，辣的
hotdog   n.热狗(面包)
hotel   n.旅馆
hotelling   n.旅馆业
