nail   n.钉子，指甲 v.钉
naive   adj.天真的
naked   adj.裸体的，赤裸裸的
name   n.姓名，名称 v.命名
nameless   adj.无名的
namely   adv.即，也就是
namesake   n.名义
nap   n.打盹，小睡
napkin   n.餐巾(纸)
narrate   v.叙述
narration   n.叙述
narrator   n.叙述者
narrow   adj.狭窄的，勉强的
nasty   adj.肮脏的，下流的
nation   n.国家，国民，民族
national   adj.民族的，国家的
nationality   n.国籍
native   adj.本国的，出生地的
natural   adj.自然的，通常的
naturally   adv.自然地
nature   n.自然，本性，性质
naughty   adj.淘气的，顽皮的
nausea   v.恶心，讨厌
naval   adj.海军的
navel   n.脐，中心
navigable   adj.可航行的
navigation   n.航行，航海，航空
navy   n.海军
near   adv.近 adj.近的
nearby   adj.,adv.附近(的)
nearly   adv.几乎，差不多
neat   adj.整洁的，简洁的
necessarily   adv.必然，当然
necessary   adj.必要的，必然的
necessitate   v.使需要，强迫
necessity   n.必要性，必须品
neck   n.颈，脖子
necklace   n.项链
need   n.需要，贫困 v.需要
needful   adj.必要的
needle   n.针，指针，针叶
needless   adj.不必要的，无用的
needy   adj.贫穷的
negate   v.否定
negation   n.否定
negative   adj.否定的 n.负片
neglect   v.,n.疏忽，忽视
negligence   n.疏忽，过失
negligent   adj.粗心大意的
negligible   adj.微不足道的
negotiable   adj.可谈判的
negotiate   v.谈判，交涉
negotiation   n.谈判
negro   n.黑人(贬义)
neighbor   n.邻居，邻国
neighborhood   n.邻里，街坊
neighboring   adj.邻近的，相邻的
neither   conj.既不...又不...
nephew   n.侄子，外甥
nerve   n.神经，胆量
nervous   adj.神经(质)的，
nest   n.巢，窝
nestle   v.安顿，建巢
net   n.网 adj.净的，纯的
network   n.网络，网状组织
neutral   adj.中立的，中和的
neutrality   n.中立
neutron   n.中子
never   adv.从不，永不，未曾
nevertheless   adv.还是，然而
new   adj.新的，重新的
news   n.新闻，消息
newspaper   n.报纸，新闻纸
next   adv.下一次，然后
nice   adj.令人愉快的
nickel   n.镍，镍币
nickname   n.绰号，诨号
niece   n.侄女，外甥女
night   n.夜，黑夜
nightgown   n.睡衣
nightingale   n.夜莺
nightmare   n.恶梦
nine   num.九
nineteen   num.十九
ninety   num.九十
ninth   num.第九，九分之一
nitrogen   n.氮
no   adv.不,毫不 adj.没有
no.   n.(缩)...号，号码
nobility   n.高贵，庄严
noble   adj.高尚的，贵族的
nobody   prep.谁也不
nod   v.,n.点头
noise   n.噪音，吵嚷声
noisy   adj.吵闹的
nominal   adj.名义上的，票面的
nominate   v.提名，推荐，任命
nomination   n.提名，任命
none   prep.没人，毫无
nonsense   n.废话，谬论
noon   n.中午，正午
nor   conj.也不，也没
norm   n.标准，规范，定额
normal   adj.正常的，标准的
normalization   n.正常化
normalize   v.使正常，使标准化
normally   adv.正常地，通常
north   n.北，北方 adj.北的
northeast   adj.,n.东北(的)
northern   adj.北方的，北部的
northward   adj.,adv.向北(的)
northwest   adj.,n.西北(的)
nose   n.鼻子
nostril   n.鼻孔
not   adv.不
notable   adj.值得注意的
notably   adj.尤其，值得注意地
note   n.笔记，注释，便条
notebook   n.笔记本
noted   adj.著名的
note-taking   n.笔记，笔录
nothing   n.没有东西 adv.毫不
notice   v.留意 n.注意，通知
noticeable   adj.显而易见的
notification   n.通知(书)，布告
notify   v.通知，通告，报告
notion   n.概念，意见，看法
notorious   adj.臭名昭著的
notwithstanding   prep.,conj.尽管
nought   n.零
noun   n.名词
nourish   v.养育，提供养分
nourishment   n.食物，补品
novel   adj.新颖的 n.小说
novelist   n.小说家
novelette   n.中篇小说
novelty   n.新奇，新颖
november   n.十一月
now   adv.n.现在 conj.既然
nowadays   adv.现今，目前
nowhere   adv.哪儿也不
nuclear   adj.核的，原子核的
nucleus   n.(原子)核，核心
nuisance   n.令人讨厌的人或事
null   n.无
nullify   v.使无效，取消
number   n.数字，若干，号码
numerical   adj.数字的
numerous   adj.众多的，大量的
nun   n.修女，尼姑
nurse   n.护士，保姆 v.护理
nursery   n.托儿所，苗圃
nut   n.坚果，螺母
nylon   n.尼龙
