d/a   n.(缩)承兑交单
dacron   n.涤纶
dad   n.爸爸
dagger   n.匕首
daily   adj.每日的 adv.天天
dainty   adj.优雅，考究
dairy   n.奶牛场，乳品商店
dam   n.坝
damage   v.,n.损害，破坏
damn   v.,n.诅咒
damp   adj.潮湿的 n.潮气
dance   v.跳舞 n.舞蹈
dancer   n.舞蹈者，舞蹈演员
danger   n.危险，威胁
dangerous   adj.有危险的
danish   adj.,n.丹麦人(的)
denmark   n.丹麦
dare   v.敢，挑战，竟敢
daring   adj.大胆的，勇敢的
dark   adj.黑暗的 n.暗处
darken   v.变黑，转暗
darkness   n.黑暗
darling   n.爱人 adj.心爱的
dart   n.飞标游戏
dash   v.猛冲,泼溅 n.破折号
data   n.(复数)资料，数据
date   n.日期 v.注日期
dating   n.约会
daughter   n.女儿
daughter-in-law   n.儿媳
dawn   n.黎明，开端
day   n.一天，白天
daybreak   n.破晓
daylight   n.日光，白昼
daytime   n.日间
daze   v.耀眼，使迷乱
dazzle   v.使...眼花缭乱
dazzling   adj.令人目眩的
dead   adj.死的 n.死者
deadline   n.期限
deadly   adj.致命的，死一般的
deaf   adj.聋的
deafen   v.使...聋，震聋
deal   v.处理，交易 n.买卖
dealer   n.商人，贩子
dealing   n.交往，生意
dean   n.系主任
dear   adj.亲爱的，敬爱的
death   n.死，死亡
deathly   adj.致死的
debate   v.,n.辩论，讨论
debit   n.借方
debt   n.债，债务
decade   n.十年
decay   v.,n.腐烂，衰败
deceased   adj.已死的
deceit   n.欺骗，欺诈行为
deceive   v.欺骗
deception   n.欺诈
deceitful   adj.欺骗性的
december   n.十二月
decency   n.体面
decent   adj.体面的，象样的
decide   v.决定，判决
decided   adj.明确的，果断的
decidedly   adv.明确地，果断的
decimal   adj.十进制的，小数的
decision   n.决定，决议
decisive   adj.决定性，明确的
deck   n.甲板
declaration   n.宣布，宣告
declare   v.宣布，声明
decline   v.婉谢，推辞 n.衰落
declining   adj.下降的，衰落的
decompose   v.分解，腐烂
decorate   v.装饰
decoration   n.装饰物
decorative   adj.装饰的，装璜的
decrease   v.,n.减少
decree   n.法令 v.判决
dedicate   v.奉献，致力
deduce   v.演绎，推断
deduct   v.减
deduction   n.推断，减少
deed   n.行为，契据
deem   v.以为，认为
deep   adj.深的，深远的
deepen   v.加深，深化
deeply   adv.深深的，深切地
deer   n.鹿
default   n.,v.不履行，不负责
defeat   v.击败 n.失败
defect   n.缺点，缺陷
defective   adj.有缺点的
defence   n.保卫，防御
defend   v.保卫，为...辩护
defer   v.拖延
defiance   n.蔑视，挑战
defiant   adj.无礼的，挑战的
