jack   n.千斤顶，船首旗
jacket   n.短外套，茄克衫
jail   n.监狱 v.监禁
jam   n.果酱，阻塞
january   n.一月
japan   n.日本
japanese   n.,adj.日本人(的)
jar   n.罐子，坛子，刺耳声
jaw   n.下颚，下巴
jazz   n.爵士乐
jealousy   n.妒忌
jealous   adj.妒忌的
jeans   n.牛仔裤
jelly   n.果冻
jeep   n.吉普车
jeopardize   v.危及
jerk   n.颠簸，猛推
jesus   n.耶稣
jet   v.喷射 v.喷气发动机
jettison   n.投弃货物 v.抛弃
jew   n.犹太人
jewel   n.珠宝，宝石
jewelry   n.珠宝(总称)
jewish   adj.犹太人的
jingle   v.,n.(发)叮当声
job   n.工作，活儿，差使
jobless   adj.失业的
jog   v.慢跑
join   v.连接，加入，参加
joint   n.接着，关节
joke   n.笑话 v.开玩笑
jot   v.匆匆记下
journal   n.刊物，日志
journalism   n.新闻体
journalist   n.记者
journey   n.旅行，旅程
joy   n.高兴，乐事
joyful   adj.令人高兴的
judge   n.法官，裁判 v.审判
judgement   n.判决，意见，判断
jug   n.大壶，罐
juice   n.汁，液
juicy   adj.多汁的
july   n.七月
jumble   n.搞乱，混乱
jump   v.,n.跳跃，跳动
junction   n.连接，结合处，接头
june   n.六月
jungle   n.密林，热带丛林
junior   adj.年少的，低级的
jupiter   n.木屋
jury   n.陪审团，评奖团
just   adv.只，刚才
justice   n.公正，正直
justifiable   adj.有理由的
justification   n.辩护，正当理由
justify   v.认为...有理
juvenile   adj.青少年的
