sack   n.麻袋 v.解雇
sacred   adj.神圣的
sacrifice   n.,v.牺牲(品)
sad   adj.悲哀的，可悲的
saddle   n.马鞍
sadly   adv.悲哀地，可惜
sadness   n.悲哀
safe   adj.安全的，无风险的
safely   adv.安全地，平安地
safety   n.安全 adj.保险的
sag   v.下跌
said   adj.上述的，该
sail   n.帆 v.行驶，开航
sailing   adj.启航的 n.航行
sailor   n.水手，海员
saint   n.圣人，圣徒
sake   n.缘故，利益
salad   n.色拉，拌凉菜
salability   n.适销性
salable   adj.有销路的，适销的
salary   n.工资，薪水
sale   n.出售，贱卖
sales   n.销售 adj.出售的
salesman   n.售货员，推销员
salmon   n.鲑，大马哈鱼
salt   n.盐
salty   adj.咸的
salute   v.行礼，致敬
salution   n.致敬
same   adj.同样的
sample   n.样品 v.抽样
sampling   n.抽样
sand   n.沙子
sandwich   n.三明治 v.夹入
sandy   adj.沙的，沙色的
sanitary   n.疗养院
santa Claus   n.圣诞老人
sarcasm   n.讽刺，挖苦
sarcastic   adj.讽刺的
sardine   n.沙丁鱼
satellite   n.卫星
satire   n.讽刺作品
satisfaction   n.满足，满意
satisfactorily   adv.圆满地
satisfactory   adj.令人满意的
satisfy   v.满足，使满意，偿还
saturation   n.浸透，饱和
saturday   n.星期六
saturn   n.土星
sauce   n.调味汁，酱油
saucer   n.茶碟
sausage   n.香肠，腊肠
savage   adj.野蛮的，残暴的
save   v.救，拯救，储蓄
savings   n.存款，储蓄额
saw   v.,n.锯
say   v.说 n.发言(权)
scale   n.刻度，等级，秤
scaly   adj.鱼鳞状的
scan   v.浏览，细察，扫描
scandal   n.丑闻
scar   n.疤，疤痕
scarce   adj.缺乏的，罕见的
scarcely   adv.几乎没有，将近
scarcity   n.缺乏，不足
scare   v.惊吓 n.惊恐
scarf   n.围巾，头巾
scarlet   adj.n.猩红的，鲜红的
scatter   v.散布，撒播
scene   n.现场，情景，一场戏
scenery   n.风景，布景
scenic   adj.风景如画的
scent   n.气味，香味
schedule   n.时间表 v.排定
scheme   n.计划，方案，图谋
scholar   n.学者
scholarship   n.奖学金，学问
school   n.学校，上学，学系
schooling   n.学校教育
science   n.科学，学科
scientific   adj.科学的
scientist   n.科学家
scissors   n.剪刀
scoff   v.嘲笑，嘲弄
scold   v.,n.训斥，责骂
scope   n.范围
scorch   v.烧焦
scorching   adj.灼热的
score   n.得分，成绩，二十
scorn   n.,v.蔑视，不屑
scornful   adj.蔑视的，轻视的
scotch   n.苏格兰
scotsman   n.苏格兰人
scottish   adj.苏格兰的
scotland   n.苏格兰
scout   n.侦察员，童子军
scramble   v.爬，攀，争夺
scrap   n.碎片，废品，屑
scrape   v.擦，刮，凑集
scratch   v.抓破，挠 n.抓痕
scream   v.,n.尖叫声
screech   v.,n.尖叫(声)
screen   n.屏，帘 v.甄别
screw   v.拧 n.螺钉
screwdriver   n.螺丝刀，改锥
script   n.临时单据
scrub   v.擦洗，刷
scrutiny   n.细看，复查
sculptor   n.雕塑家
sculpture   n.雕塑，雕刻
sea   n.海，海洋
seal   v.封 n.图章，封条
seam   n.接缝
seaman   n.海员，水手
seaport   n.海港，港口
search   v.,n.搜查，寻找
seashore   n.海滨
seaside   n.海边
season   n.季节 v.调味
seasonal   adj.季节性的
seat   n.座位，席位 v.就座
second   num.第二 n.第二，秒
secondary   adj.第二的，次要的
secondhand   adj.二手的，间接的
secondly   adv.第二，其次
secrecy   n.秘密(状态)
secret   adj.秘密的 n.秘密
secretariat   n.秘书处
secretary   n.秘书，部长，书记
section   n.部分，区域
sector   n.部分，部门
secure   adj.安全的，可靠的
security   n.安全，有价证券
see   v.看见，明白，查看
seed   n.种子 v.播种
seek   v.寻觅，企图获得
seem   v.好象，似乎
seemingly   adv.表面上
segment   n.部分，节，片
seize   v.抓住，夺取，占领
seizure   n.强占，没收
seldom   adv.难得，不常
select   v.挑选 adj.精选的
selection   n.选择，选集
self   n.自己，自身，品质
selfish   adj.自私的，利己的
sell   v.卖，出售
seller   n.卖方
seminar   n.研讨会，学术讲座
semiconductor   n.半导体
senate   n.参议院
senator   n.参议员
send   v.派遣，送，寄出，请
sender   n.寄信人
senior   adj.年长的，老资格的
sensation   n.感觉，感动
sensational   adj.轰动的
sense   n.感官，感觉，见识
senseless   adj.无意义的
sensible   adj.明智的，感知的
sensitive   adj.敏感的
sensitivity   n.灵敏度
sentence   n.句子 v.判决
sentiment   n.感情，情绪
sentimental   adj.多愁善感的
separate   v.分离，分隔，分手
separately   adv.分别地
separation   n.分离，分开
september   n.九月
sequence   n.一连串，顺序
serene   adj.清澈的，晴朗的
serenity   n.晴朗
series   n.系列，从书
serious   adj.慎重的，严重的
seriously   adv.严肃地，严重地
sermon   n.布道，说教
serpent   n.大蛇
servant   n.仆人
serve   v.服务，任职，服役
service   n.服务，公共设施
serviceable   adj.有用的，耐用的
session   n.会议，会期，市，盘
set   v.放，指定 n.全套
setting   n.安置，背景，环境
settle   v.解决，安置，支付
settlement   n.解决，结算
seven   num.七
seventeen   num.十七
seventh   num.第七，七分之一
seventy   num.七十
several   adj.几个
severe   adj.严厉的，苛刻的
severely   adv.严厉地，苛刻地
sew   v.缝纫
sewing-machine   n.缝纫机
sex   n.性，性别
sexual   adj.性的，性感的
sexuality   n.性欲
shabby   adj.褴褛的，不体面的
shade   n.阴影，遮光物，浓淡
shadow   n.影子，阴影
shadowy   adj.有阴影的，模糊的
shady   adj.遮阴的，背阴的
shaft   n.柄，竖井
shake   v.摇动，发抖，握手
shall   v.将
shallow   adj.浅的，浅薄的
sham   n.赝品 v.假冒
shame   n.羞耻，耻辱
shameful   adj.可耻的，丢脸的
shampoo   n.洗发香波
shape   n.形状，轮廓 v.形成
shapeless   adj.不定形的
share   n.份，股份 v.分配
shark   n.鲨鱼
sharp   adj.锐利的，明显的
sharpen   v.削尖，磨快
sharpener   n.铅笔刀，磨石
sharply   adv.尖锐地，敏锐地
shatter   v.粉碎，毁坏
shave   v.剃，修脸
she   pron.她
shear   v.剪毛，切割
shed   v.流下 n.棚子
sheep   n.绵羊
sheepish   adj.胆怯的
sheer   adj.全然的，极薄的
sheet   n.被单，张，大片
shelf   n.架子，搁板
shell   n.壳，英，炮弹，外壳
shelter   n.躲避处，庇护
shepherd   n.牧羊人
sheriff   n.郡长，警官
shield   n.盾牌 v.防护
shift   v.转变 n.转移，轮班
shilling   n.先令
shine   v.发光，照射，照耀
shiny   adj.耀眼的
ship   n.船，舰 v.船运
shipbuilding   n.造船业
shipmail   n.随船带交
shipment   n.船运，一船货
shipowner   n.船主
shipping   n.船运，装运
shipwreck   n.(船只)失事
shipyard   n.船坞
shirt   n.衬衣
shiver   v.发抖
shock   n.震惊，电击 v.震动
shoe   n.鞋
shoemaker   n.鞋匠
shoot   v.射击，发芽 n.嫩芽
shop   n.商店，车间
shopkeeper   n.店主
shopping   n.购物
shore   n.岸，滨
short   adj.短的，矮的
shortage   n.缺少，不足
shortcoming   n.短处，缺点
shortcut   n.捷径
shorten   v.缩短
shorthand   n.速记
shortly   adv.立刻，不久
shorts   n.短裤
short-weight   n.短装，短重
shot   n.射击，弹丸
should   v.应该，会
shoulder   n.肩膀
shout   v.,n.叫喊
shove   v.推，推开
shovel   n.铲子
show   v.显示，表明 n.演出
shower   n.阵雨，淋浴
showroom   n.展室，陈列室
shrewd   adj.机敏的，精明的
shriek   v.,n.尖叫(声)
shrill   v.刺耳的 v.尖叫
shrine   n.神龛
shrimp   n.虾
shrink   v.收缩，畏缩
shroud   n.遮蔽物
shrub   n.灌木
shrug   v.,n.耸肩
shuffle   v.拖脚走
shun   v.躲避，躲开
shut   v.关闭，合拢
shutter   n.百叶窗，快门
shuttle   n.梭 v.穿梭
shy   adj.害羞的，腼腆的
sick   adj.有病的，厌恶的
sickness   n.病
sickle   n.镰刀
side   n.边，面，侧面，一方
sidewalk   n.人行道
sideways   adv.侧面地
siege   v.包围，围攻
sieve   n.筛子
sift   v.筛，细查
sigh   v.,n.叹息，叹气
sight   n.视力，情景
sightseeing   n.观光，游览
sign   n.告示，迹象，符号
signal   n.信号 v.做手势
signature   n.签字
significance   n.重要性，意义
significant   adj.重要的，有意义的
signify   v.表示，意味
signpost   n.路标，广告柱
silence   n.寂静，沉默
silent   adj.寂静的，沉默的
silicon   n.硅
silk   n.丝，绸 adj.丝的
silky   adj.丝绸般的
silly   adj.糊涂的，愚蠢的
silver   n.银，银餐具
similar   adj.类似的，相象的
similarity   n.类似，相似
simple   adj.简单的，朴素的
simplicity   n.简单，简朴，单纯
simplify   v.简单化
simply   adv.简单地，仅
simulate   v.假装，佯伪
simultaneous   adj.同时(发生)的
simultaneously   adv.同时地
sin   n.罪，罪恶
since   prep.自从 conj.既然
sincere   adj.真诚的，诚挚的
sincerely   adv.真诚地
sincerity   n.真诚，诚挚
sinful   adj.有罪的，罪恶的
sing   v.唱
singer   n.歌手
single   adj.单个的，单身的
singular   adj.非凡的，单数的
sink   v.沉，下落 n.水槽
sir   n.先生
siren   n.汽笛，报警器
sister   n.姊，妹
sit   v.坐，栖息
site   n.场所，场地
sitting-room   n.起居室
situate   v.位于，坐落在
situation   n.形势，局面
six   num.六
sixteen   num.十六
sixth   num.第六，六分之一
sixty   num.六十
sizable   adj.相当大的
size   n.大小，规模，尺寸
skate   n.冰鞋 v.滑冰
skating   n.滑冰，溜冰
skeleton   n.骨架
sketch   n.素描，速写，草图
ski   n.雪撬 v.滑雪
skiing   n.滑雪
skill   n.技能，技艺
skillful   adj.熟练的
skim   v.撇去，掠过，略谈
skin   n.皮，皮肤 v.剥皮
skip   v.跳过，遗漏
skirmish   n.小冲突
skirt   n.裙子
skull   n.颅骨
sky   n.天，天空
skyrocket   v.猛涨
skyscraper   n.摩天大楼
slack   adj.松驰的，不景气的
slam   v.砰地关上
slander   n.,v.诽谤，污蔑
slang   n.俚语
slap   v.掌击，掴
slaughter   v.,n.屠宰，屠杀
slave   n.奴隶 v.做苦工
slavery   n.奴隶制，奴役
slay   v.屠杀
sleep   v.,n.睡眠
sleepy   adj.欲睡的
sleet   n.雨加雪
sleeve   n.袖子
slender   adj.细长的，苗条的
slice   n.薄片 v.切成薄片
slide   v.滑，溜
slight   adj.轻微的，纤瘦的
slightly   adv.轻微地，稍稍
slim   adj.苗条的
slip   v.滑，滑行，溜走
slipper   n.便鞋，拖鞋
slippery   adj.滑的
slit   v.割裂 n.狭口，裂缝
slogan   n.标语，口号
slope   v.倾斜 n.坡，坡度
slow   adj.慢的，迟钝的
slowdown   n.放慢，迟缓
slowly   adj.慢慢地
slum   n.贫民窟
slumber   n.睡眠，微睡
slump   n.暴跌，不景气
sly   adj.狡猾的
smack   n.滋味 v.劈啪地响
small   adj.小的，不重要的
smart   adj.聪明的，漂亮的
smash   v.打破，粉碎，猛撞
smell   v.嗅,发出气味 n.气味
smile   v.,n.微笑
smog   n.烟雾
smoke   v.冒烟，抽烟 n.烟
smoker   n.抽烟者
smoking   n.抽烟
smooth   adj.平稳的，光滑的
smoothly   adv.顺利地，安稳地
smuggle   v.走私，夹带
smuggler   n.走私者
smuggling   n.走私
snack   n.快餐，小吃
snail   n.蜗牛
snake   n.蛇
snap   v.,n.折断(声)
snatch   v.,n.抢夺，攫取
sneak   v.偷偷地逃走、做
sneakers   n.旅游鞋
sneer   v.,n.嘲笑，讥笑
sneeze   v.打喷嚏
sniff   v.嗅，闻
snob   n.势利小人
snobbery   n.势利
snobbish   adj.势利的
snore   v.打鼾
snow   n.雪 v.下雪
snowman   n.雪人
snowstorm   n.暴风雪
snowy   adj.有雪的，下雪的
so   adv.这样，也一样
soak   v.浸，吸水，湿透
soap   n.肥皂
soar   v.急速上升，暴涨
sob   v.,n.呜咽，啜泣
sober   adj.清醒的，冷静的
so-called   adj.所谓的
soccer   n.足球
sociable   adj.善交际的，社交的
social   adj.社会的，社会性的
socialism   n.社会主义
socialist   n.adj.社会主义者、的
society   n.社会，协会，社交界
sociologist   n.社会学家
sociology   n.社会学
sock   n.短袜
soda   n.苏打，碱，苏打水
sodium   n.钠
sofa   n.沙发，软椅
soft   adj.柔软的，温和的
soften   v.使柔软，变软
softly   adv.柔软地，温和地
softness   n.柔软，温和
software   n.软件
soil   n.土壤，国土，污秽
solar   adj.太阳的
soldier   n.士兵，兵
sole   adj.唯一的，单独的
solely   adv.唯一地，只
solemn   adj.正式的，严肃的
solicitor   n.律师
solid   adj.固体的，牢固的
solidarity   n.团结
solitary   adj.独自的，孤独的
solitude   n.寂寞，独居
solo   n.独唱，独奏
solution   n.解决，溶液
solve   v.解答，溶解
solvency   n.偿付能力
solvent   adj.有偿付能力的
some   adj.若干，某一
somebody   pron.某人，重要人物
somehow   adv.以某种方式
someone   pron.有人，某人
something   pron.某事，某物
sometime   adv.日后，曾经
sometimes   adv.有时，不时
somewhat   adv.稍微，有点
somewhere   adv.某地，到某处
son   n.儿子
song   n.歌，歌词，鸟鸣
son-in-law   n.女婿
sonnet   n.十四行诗
sonyericsson   n.索尼愛立信通訊手機公司
soon   adv.不久，很快，早
soot   n.油烟，煤烟
soothe   v.安慰，使镇定
sophisticated   adj.复杂的，先进的
sophistication   n.世故
sore   adj.疼痛的，恼火的
sorrow   n.伤心，悲哀，忧患
sorrowful   adj.悲哀的，忧愁的
sorry   adj.难过的，遗憾的
sort   n.种类 v.分类，拣
soul   v.灵魂，心灵，人
sound   n.声，声音 v.听起来
soup   n.汤
sour   adj.酸的，不高兴的
source   n.来源，出处，源泉
south   n.南,南方 adj.南方的
southeast   n.东南(部)
southern   adj.南的，南方的
southward   adj.,adv.向南
southwest   n.西南(部)
souvenir   n.纪念品
sovereign   n.君主 adj.主权的
sovereignty   n.主权
sow   v.播种，散布 n.母猪
soy   n.酱油
space   n.空间，太空，空地
spacecraft   n.宇宙飞船
spaceship   n.太空船，宇宙飞船
spaceshuttle   n.航天飞机
spacious   adj.广阔的，宽敞的
spade   n.铲子，铁锹，黑桃
spain   n.西班牙
span   n.跨度；指距 v.跨越
spanish   adj.,n.西班牙人(的)
spare   v.腾出时间adj.备用的
spark   n.火花，火星
sparkle   v.发火花，闪耀
sparrow   n.麻雀
spatial   adj.空间的
speak   v.说话，发言，讲
speaker   n.说话者，发言人
spear   n.矛，枪
special   adj.特别的，专门的
specialist   n.专家
specialize   v.专攻，专门研究
specialized   adj.专业的，专门的
specially   adv.特地，专门地
specialty   n.专业，专长
species   n.物种，种类
specific   adj.特殊的，明确的
specification   n.规格，明细表
specify   v.详细说明，指定
specimen   n.标本，样本
spectacle   n.眼镜，场面，壮观
spectacular   adj.壮观的
spectator   n.观众，旁观者
spectrum   n.光谱
speculate   v.推测，投机
