cab   n.出租汽车
cabbage   n.卷心菜；圆白菜
cabin   n.小屋，船舱
cabinet   n.橱柜，内阁
cable   n.电缆，海底电报
cafe   n.咖啡馆
cafeteria   n.自助餐厅
cage   n.笼子，鸟笼
cake   n.糕，饼
calculate   v.计算，估计
calculation   n.计算(结果)
calculus   n.微积分
calendar   n.日历
calf   n.小牛，腿肚子
calibration   n.刻度，核定
call   v.叫，称为，打电话
calm   adj.宁静的，镇静的
calmly   adv.平静地，沉着地
calorie   n.热卡，卡路里
camel   n.骆驼
camera   n.照相机
camp   n.帐篷，野营 n.宿营
campaign   n.战役，运动
camping   n.野营
campus   n.校园
can   v.aux.能，会，可以
canada   n.加拿大
canadian   adj.,n.加拿大的(人)
canal   n.运河，渠道
canary   n.金丝雀
cancel   v.删除，取消
cancellation   n.删除，取消
cancer   n.癌
candid   adj.坦白的，直率的
candidate   n.候选人
candle   n.蜡烛
candy   n.糖果
cane   n.手杖，(藤、竹的)茎
canned   adj.罐装的
cannon   n.大炮
canoe   n.独木舟，游艇
canon   n.规范，准则
canteen   n.食堂
canvas   n.帆布，画布
canvass   v.游说
cap   n.帽子，盖子 v.覆盖
capability   n.才能，能力
capable   adj.有能力的
capacity   n.容量，容积，资格
cape   n.披肩，岬，海角
capita   n.人
capital   n.首都，资本
capital-intensive   adj.资本密集型的
capitalism   n.资本主义
capitalist   adj.资本主义的
capitalization   n.资本化
capitalize   v.大写，资本化
captain   n.队长，船长，上尉
caption   n.标题
captive   adj.被俘虏的 n.俘虏
capture   v.,n.俘获，捉拿
car   n.小汽车
caravan   n.车队，大蓬车
carbon   n.碳，复写纸
card   n.卡片，纸牌，名片
cardboard   n.硬纸板
cardinal   adj.主要的
care   n.注意，小心 v.关心
career   n.职业，生涯
careful   adj.小心的，仔细的
careless   adj.粗心的，不关心的
carelessness   n.粗心
cargo   n.货物
carol   n.颂歌
carpenter   n.木匠
carpet   n.地毯
carriage   n.马车，(火车)车厢
carrier   n.运载工具，媒介
carrot   n.胡萝卜
carry   v.搬运，携带
cart   n.手推车
carton   n.纸箱
cartoon   n.漫画，动画片
cartridge   n.弹仓
carve   v.雕刻，切
carving   n.雕塑
case   n.事实，案例，箱子
cash   n.现金 v.兑现
cashier   n.出纳
cassette   n.小盒，磁盘盒
cast   v.掷，投射，铸造
castle   n.城堡
casual   adj.偶然的，随便的
casualty   n.伤亡
cat   n.猫
catalog   n.(商品)目录
catastrophe   n.灾难
catalyst   n.催化剂
catch   v.捕获，染病 n.捉
category   n.种类，范畴
cater   v.提供
cathedral   n.大教堂
catholic   adj.天主教的
cattle   n.牛(总称)
cause   n.原因，理由，事业
caution   n.谨慎，告诫
cautious   adj.谨慎的，当心的
cavalry   n.骑兵，马术
cave   n.洞穴，山洞
cavern   n.酒馆
cavity   n.坑，孔穴
cease   v.停止，平息
ceiling   n.天花板
celebrate   v.庆祝
celebration   n.庆祝仪式
celery   n.芹菜
cell   n.细胞，牢房，电池
cellar   n.地窖，地下室
cement   n.水泥
cemetery   n.墓场
censor   v.审查
censorship   n.审查
cent   n.分币
centigrade   adj.摄氏的
centimeter   n.厘米
central   adj.中心的，中央的
center   n.中心 v.集中
century   n.世纪
cereal   n.谷物
ceremonial   adj.仪式的
ceremony   n.仪式，典礼，礼节
certain   adj.确信的，一定的
certainly   adv.一定，当然，行
certainty   n.确实，必然的事
certificate   n.证书，执照
certification   n.证明
certify   v.证明
chain   n.链条，一系列，锁链
chair   n.椅子
chairman   n.主席，董事长
chairperson   n.主席(无性别之分)
chairwoman   n.女主席，女董事长
chalk   n.白垩，粉笔
challenge   n.,v.挑战，质问
challenging   adj.具有挑战性的
chamber   n.房间
champion   n.优胜者，冠军
championship   n.锦标(赛)
chance   n.机会，可能性
change   n.变化，零钱 v.改变
changeable   adj.变化的
channel   n.沟渠，途径，频道
chaos   n.混乱
chap   n.伙计
chapter   n.章，节
character   n.性格，角色，特牲
characteristic   n.特征，特性
characteristical   adj....特征的
characterize   v.具有...特征
charcoal   n.木炭
charge   v.收费，冲向，控告
charity   n.施舍，仁慈
charm   n.魅力 v.迷惑
charming   adj.迷人的
chart   n.图表 v.制定计划
charter   n.特许证，宪章
chase   v.追逐，驱除
chat   v.聊天
chatter   v.喋喋不休，啁啾
cheap   adj.便宜的，可鄙的
cheat   v.欺骗，作弊 n.骗子
cheating   n.欺骗行为
check   v.检验，核对 n.支票
check-out   n.结帐，离店时限
check-up   n.核对，检查
cheek   n.颊，脸
cheeky   adj.胖乎乎的
cheer   n.喝彩 v.向...喝彩
cheerful   adj.快活的
cheese   n.干酪，奶酪
chemical   adj.化学的
chemist   n.化学家，药剂师
chemistry   n.化学
cheque   n.支票
cherish   v.珍爱，怀有
cherry   n.樱桃
chess   n.国际象棋
chest   n.胸膛，柜子
chestnut   n.栗树，栗子
chew   v.咀嚼
chick   n.小鸡
chicken   n.鸡，鸡肉
chief   adj.首席的，首要的
chiefly   adv.多半，首要地
child   n.孩子，儿童
childhood   n.童年
childish   adj.孩子气的
childlike   adj.孩子似的，天真的
chill   n.寒意 v.冷却
chilly   adj.凉的，冷淡的
chimney   n.烟囱
chin   n.下巴，下颊
china   n.中国n.瓷器，陶瓷
chinese   adj.,n.中国的
chip   n.片，屑，缺口
chocolate   n.巧克力
choice   n.选择，选中的人或物
choke   v.闷死，窒息，阻塞
choose   v.选择，愿意
chop   v.劈，剁 n.带骨肉
chorus   n.合唱队，齐声
christ   n.基督
christian   adj.基督教的n.基督徒
christianity   n.基督教(精神)
christmas   n.圣诞节
church   n.教堂
cif   n.(缩)到岸价
cigar   n.雪茄
cigarette   n.卷烟
cinema   n.电影院
circle   n.圆，果 v.画圈于
circular   adj.圆圈的
circuit   n.巡回，电路
circulate   v.循环，流通，流传
circulation   n.循环，销路，周转
circumference   n.周围，圆周
circumstance   n.情况，环境
circus   n.马戏团
cite   v.引证，举例
citizen   n.公民，市民
citizenship   n.公民权
city   n.城市
civil   adj.民用的，民事的
civilization   n.文明，民族文化
civilize   v.使...文明，开化
claim   v.要求，索赔，声称
clamp   n.夹子 v.夹紧
clap   v.排手，鼓掌
clarify   v.弄清(问题)
clarification   n.澄清
clash   v.,n.碰撞，冲突
