fable   n.寓言
fabric   n.织物，结构，组织
fabricate   v.制作，捏造
fabrication   n.制作，虚构
face   n.脸，正面 v.面对
facilitate   v.使便利，使容易
facility   n.方便，设施，便利
fact   n.事实，真相
faction   n.宗派，派别
factor   n.因素，因数，要素
factory   n.工厂，制造厂
faculty   n.本领，学系
fade   v.褪色，枯萎
fahrenheit   n.,adj.华氏(的)
fail   v.失败，不及格，不能
failing   adj.缺点
failure   n.失败，疏忽，破产
faint   adj.软弱的，模糊的
fair   adj.公平的 n.交易会
fairly   adj.公平地，相当
fairy   n.妖精，仙女
faith   n.信任，信念
faithful   adj.忠诚的，可靠的
faithfully   adv.忠诚地
fake   adj.冒片的 n.冒牌货
fall   v.落下，跌倒 n.瀑布
false   adj.假的，假造的
fame   n.名声，声誉
familiarity   n.熟悉，相似
familiar   adj.熟悉的，亲近的
family   n.家庭，家属
famine   n.饥荒，饥饿
famous   adj.著名的
fan   n.扇子，...迷 v.扇
fanatic   adj.狂热的，入迷的
fancy   n.幻想，爱好 v.想象
fantastic   adj.奇异的，荒谬的
far   adj.遥远的 adv.远
fare   n.车费 v.饮食
farewell   int.再见 adj.告别的
farm   n.农场，农庄
farmer   n.农夫，农场主
farmhand   n.农工，农场工人
farmhouse   n.农舍
farming   n.农业，种植业
farther   adv.较远，更进一步
fascinate   v.吸引，入迷，蛊惑
fascination   n.入迷
fascism   n.法西斯
fascist   n.法西斯分子
fashion   n.方式，时髦，时装
fashionable   adj.流行的，时髦的
fast   adj.快的 adv.快
fasten   v.捆紧，钉牢
fat   n.脂肪 adj.肥胖的
fatal   adj.致命的
fate   n.命运，厄运，宿命
father   n.父亲，神父，始祖
father-in-law   n.岳父，公公
fathom   v.领会，推测
fatigue   n.,v.(使)疲劳
fault   n.缺点，过失，断层
faultless   adj.完美的
faulty   adj.有缺点的
favor   n.帮助，偏爱 v.宠爱
favorable   adj.赞成的，有利的
favorably   adv.有利地，顺利地
favorite   n.adj.最喜爱的人或物
fbi   國際刑警
fear   n.,v.害怕，担忧
fearful   adj.可怕的，吓人的
fearless   adj.毫不畏惧的
feasibility   n.可行性
feasible   adj.可行的，做得到的
feast   n.,v.宴会，宴请
feat   n.功绩
feather   n.羽毛
feature   n.相貌，特征，特写
february   n.二月
federal   adj.联邦的
federation   n.联邦
fee   n.费用，酬金
feeble   adj.虚弱的，无力的
feed   v.喂养，吃东西
feedback   n.反馈
feel   v.感到，摸，意识到
feeling   n.知觉，感觉，感情
fell   v.砍到
fellow   n.家伙，同事
fellowship   n.交情，会员资格
female   adj.女性的，雌的
feminine   adj.女性的，妇女的
fence   n.围栏，篱笆
ferocious   adj.凶猛的，野蛮的
ferrous   adj.铁的，含铁的
ferry   n.渡船 v.渡运
ferryboat   n.渡船
fertile   adj.肥沃，多产的
fertilizer   n.肥料，化肥
fervent   adj.强烈的，热烈的
festival   n.节日 adj.喜庆的
fetch   v.去取来，去请来
feud   n.纠纷，封地
