i   .我
ice   n.冰，冰块
ice-cream   n.冰淇淋
ice-bound   adj.冰封的
iceland   n.冰岛
icy   adj.冰冷的，结了冰的
idea   n.思想，主意，打算
ideal   adj.理想的 n.理想
idealism   n.理想主义
idealize   v.使理想化
identical   adj.同一的，相同的
identification   n.识别，身分
identify   v.认出，认为...一致
identity   n.认同，同一性
idiom   n.习语，成语
idiomatic   adj.习语的，惯用的
idiot   n.傻子，白痴
idle   adj.空闲的，懒的
idleness   n.闲散，无所事事
idol   n.偶像，被崇拜的人
i.e.   (缩)即，也就是
if   conj.如果，虽然,是否
ignite   v.点燃
ignorance   n.无知，不知道
ignorant   adj.不知道的，无知的
ignore   v.忽视，不理睬
ill   adj.患病的，坏的
illegal   adj.不合法的，非法的
illegible   adj.字迹不清的
illiteracy   n.文盲
illiterate   adj.文盲的 n.文盲
illness   n.疾病，生病
illuminate   v.照亮，启发
illusion   n.幻想，幻觉
illusive   adj.幻觉的
illustrate   v.图解，用图说明
illustration   n.阐明，实例
image   n.图像，影像，形象
imaginary   adj.想象的，虚构的
imagination   n.想象力，想象
imagine   v.想象，猜想
imitate   v.模仿，仿造，模拟
imitation   n.模仿，仿制品
immaterial   adj.无形的，不重要的
immature   adj.不成熟的
immediate   adj.立即的，最近的
immediately   adv.立即，马上
immense   adj.巨大的，极大的
immerse   v.浸泡，埋头于
immigrant   n.移民
immigrate   v.移入
immigration   n.移居入境
imminent   adj.迫切的，危急的
immoral   adj.不道德的
immortal   adj.不朽的
impact   n.冲击，影响
impart   v.给予，告诉
impartial   adj.公证的
impatience   n.不耐烦
impatient   adj.急切的，不耐烦的
imperative   adj.绝对必要的
imperfect   adj.不完善的
imperialism   n.帝国主义
imperialist   n.帝国主义者
implement   v.实行 n.工具
implementation   n.实行，执行
implication   n.暗示，含义
implied   adj.暗含的，暗示的
implore   v.恳求，哀求
imply   v.暗示，意味
import   v.进口,引进 n.进口货
importance   n.重要性，意义
important   adj.重要的，重大的
importation   n.进口
importer   n.进口商
impose   v.征(税)，强加
imposition   n.强迫接受
impossibility   n.不可能性
impossible   adj.不可能的，不妥的
impost   n.进口税，关税
impractical   v.不可行的
impress   v.印，铭刻，产生印象
impression   n.印象，影响，印迹
impressive   adj.给人深刻印象的
imprison   v.关押，监禁
imprisonment   n.监禁，徒刑
improper   adj.不适当的
improve   v.改善，提高
improvement   n.改善，好转
impulse   n.冲击，冲动，脉搏
impurity   n.不纯，杂质
in   prep.在...内，穿戴
inability   n.无能
inaccessible   adj.很难得到的
inaccurate   adj.不准确的，不确切
inadequate   adj.不充足的，不足以
inasmuch   adv.因为，由于
inaugural   adj.开幕的
inaugurate   v.举行开幕、就职典礼
inauguration   n.开幕、就职典礼
incapable   adj.不能的，不会的
incense   v.使发怒 n.香
incentive   n.刺激的，鼓励的
inch   n.英寸
incident   n.事件，事变，插曲
incidentally   adv.偶然地，另外
inclination   n.倾斜，倾向
incline   v.低头，喜欢，倾斜
inclined   adj.倾向于...的
include   v.包括
inclusion   n.包括在内
inclusive   adj.包括在内的
income   n.收入，所得
incompatibility   n.不兼容
incompatible   adj.不相容的
incomplete   adj.不完全的，没完成
inconsistency   n.不一致
inconsistent   adj.不一致的
inconvenience   n.不便，不利
inconvenient   adj.不方便的
incorporate   v.合并，体现
incorporated   adj.有限的
incorrect   adj.不正确的
incoterms   n.(缩)国际贸易术语
increase   v.,n.增加，增长
increasing   adj.不断增长的
increasingly   adv.日益，越来越
incredible   adj.不可信的，惊人的
incredulous   adj.表示怀疑的
increment   n.增值
incur   v.招致，承受
indebted   adj.感激的，感恩的
indebtedness   n.感激
indeed   adv.的确，实际上
indefinite   adj.不明确的，不确定
indefinitely   adv.不明确地
indemnify   v.赔偿，保护
indent   v.(书写)缩行
independence   n.独立，自主
independent   adj.独立的
independently   adv.独立地
index   n.索引，标志，指数
india   n.印度
indian   adj.,n.印度人(的)
indicate   v.指明，表示
indication   n.表示，迹象
indicative   adj.表示...的
indifference   n.冷淡，不关心
indifferent   adj.冷淡的，不在乎的
indigestion   n.消化不良
indignant   adj.气愤的，愤慨的
indignation   n.愤慨，气愤
indirect   adj.间接的，侧面的
indirectly   adj.间接地
indispensable   adj.必不可少的
individual   adj.个人的，各自的
indoor   adj.室内的
indoors   adv.在户内，在屋里
induce   v.诱使，引起，归纳
inducement   n.诱导，动机
induction   n.感应，归纳
indulge   v.放纵，放任，纵容
industrial   adj.工业的
industrialize   v.使工业化
industrialization   n.工业化
industrialized   adj.工业化的
industrious   adj.勤劳的，勤奋的
industry   n.工业，产业，勤奋
ineffective   adj.效率低的
ineffectiveness   n.低效率
inefficiency   n.无效力
inefficient   adj.无效的
inertia   n.惯性，惰性，不活动
inevitable   adj.必然的，不可避免
inevitably   adv.必然地
inexpensive   adj.便宜的
infant   n.婴儿，幼儿
infantry   n.步兵
infect   v.感染，传染
infection   n.感染
infectious   adj.传染的
infer   v.推断，推论
inference   n.推断，推论的结果
inferior   adj.低级的 n.下级
inferiority   n.劣势
infinite   adj.无限大的，无穷的
infinitely   adv.无限地，无穷地
infinitive   adj.不定式的
infinity   n. 无限，无数，极多
inflammable   adj.不易燃的
inflation   n.充气，通货膨胀
inflict   v.打击
influence   n.影响，势力(范围)
influential   adj.有影响的
influenza   n.流行性感冒
inform   v.通知，告诉，告密
informal   adj.非正式的
information   n.通知，情报，资料
informative   adj.提供资料的
infrequent   adj.不经常的
infringe   v.侵权
infringement   n.侵权
ingenious   adj.灵巧的，精巧的adj.独创的，机智的
ingenuity   n.灵巧，机灵，巧妙
inhabit   v.居住，栖身
inhabitant   n.居民
inherent   adj.生来俱有的
inherit   v.继承，遗传
initial   adj.最初的
initially   adv.最初
initiate   v.发动，开始，使入门
initiative   n.积极性，首创精神
inject   v.注射
injection   n.注射
injure   v.伤害，损害
injury   n.伤害，损害
injustice   n.不公正
ink   n.墨水，油墨
inland   n.内地的，内陆的
inlet   n.水湾，入口
inn   n.客栈
inner   adj.里面的，内心的
innocence   n.清白，天真
innocent   adj.无罪的
innovate   v.革新，变革，创始
innovation   n.革新，创新
innumerable   adj.无数的
inorganic   adj.无机的
input   n.输入，投入
inquire   v.询问
inquiry   n.询问，查询，调查
insane   adj.疯狂的
insect   n.昆虫
insert   v.插入，嵌入
insertion   n.插入
inside   n.里面 adj.里面的
insider   n.知情者
insight   n.洞察力
insignificant   adj.无足轻重的
insist   v.坚持，坚决要求
insistent   adj.紧迫的，坚持的
insofar   adv.在...范围内
insolvent   adj.无偿付能力的
inspect   v.检查，视察，审查
inspection   n.检查，视察
inspector   n.检查员，视察者
inspiration   n.灵感
inspire   v.鼓舞，激励，受启发
instable   adj.不稳定的
install   v.安装，安置
installation   n.安装，装置
installment   n.分期付款
instance   n.例子
instant   adj.立即的，速溶的
instantly   adv.立即，立刻
instead   adv.代替，而是
instinct   n.本能，直觉，天性
instinctive   adj.本能的，天性的
institute   n.(专科)学院 v.建立
institution   n.机构，制度
instruct   v.指导，指示，告知
instruction   n.指导，指示
instructive   adj.指示的，教育的
instructor   n.教员，教练
instrument   n.仪器，乐器，手段
instrumental   adj.仪器的，工具的
insufficient   adj.不充足的
insulate   v.绝缘，隔离，使孤立
insulation   n.隔离，绝缘
insult   v.,adj.侮辱
insurance   n.保险(业)，保障
insure   v.保险，确保
intangible   adj.无形的
integral   adj.组成的，整体的
integrate   v.整合，结合
integration   n.结合，整体
integrity   n.完整性，诚实
intellect   n.理智，才智
intellectual   n.知识分子
intelligence   n.智慧，情报
intelligent   adj.聪明的，明智的
intend   v.打算
intense   adj.强烈的，极度的
intensity   n.强烈，强度
intensive   adj.强化的，密集的
intent   n.意图 adj.专心的
intention   n.意图，目的
intentional   adj.有意的，故意的
interact   v.相互作用，相互影响
interaction   n.相互作用
intercourse   n.交流，往来
interest   n.兴趣，利息，利益
interested   adj.感兴趣的
interesting   adj.有趣的
interface   n.交界，接口
interfere   v.妨碍，干涉
interference   n.干涉，干扰
interior   n.内部，内地，内政
intermediate   adj.中间的
internal   adj.内部的，国内的
international   adj.国际的
internationalization   n.国际化
internationalize   v.使国际化
interpret   v.解释，当...译员
interpretation   n.解释，口译
interpreter   n.译员
interrupt   v.打断，中断
interruption   n.中断，打扰
interval   n.间隔，中间休息
intervene   v.介入，调解
interview   n.,v.会见，面谈
intimate   adj.亲密的，熟悉的
intimation   n.亲密，熟悉
into   prep.到...里面，..成
intonation   n.语调，声调
introduce   v.介绍，引进，采用
introduction   n.介绍，引言
introductory   adj.介绍的，入门的
intrude   v.侵入，强加于
inundate   adj.使充满
invade   v.入侵，侵犯
invader   n.入侵者
invalid   adj.伤残的，无效的
invalidate   v.使无效
invaluable   adj.非常宝贵的
invariably   adv.不变地，总是
invasion   n.侵略，侵袭
invent   v.发明，创造，编造
invention   n.发明，创造
inventor   n.发明者
inverse   adj.相反的，倒转的
inversely   adv.相反地
invest   v.投资，花费
investigate   v.调查，研究
investigation   n.调查
investment   n.投资(额)
invisible   adj.看不见的
invitation   n.邀请(信)
invite   v.邀请，招致，征求
invoice   n.发票，装货清单
involve   v.使卷入，忙于
involved   adj.涉及的，复杂的
involvement   n.卷入，涉足
inward   adj.里面的，内心的
inwards   adv.向内的
ireland   n.爱尔兰
ilrish   n.,adj.爱尔兰人(的)
iron   n.铁，熨斗 v.熨平
ironical   adj.反讽的，讽刺的
irony   n.反讽，讽刺
irregular   adj.不规则的
irregularity   n.不规则
irresistible   adj.不可抗拒的
irrespective   adj.不论，不考虑
irrevocable   adj.不可撤消的
irrigate   v.灌溉
irrigation   n.灌溉
irritate   v.使生气，刺激
irritation   n.刺激，恼怒
islam   n.伊斯兰教，回教
island   n.岛屿
isolate   v.隔离，孤立
isolation   n.隔离，孤立状态
issue   v.发行,发布 n.发行物
it   pron.它
italian   n.,adj.意大利人(的)
italy   n.意大利
itch   v.,n.痒，热望
item   n.条款，项目
