kangaroo   n.带鼠
keen   adj.锋利的，敏捷的
keep   v.保持，保留，防止
keeper   n.保管人，管理员
keeping   n.一致，协调
kernel   n.核(仁)，核心
kerosene   n.煤油
kettle   n.水壶
key   n.钥匙，关键，答案
keyboard   n.键盘
keyhole   n.钥匙孔
kick   v.,n.踢
kid   n.小孩 v.哄骗
kidnap   v.绑架，诱拐
kidnaper   n.绑架者
kidney   n.肾，腰子
kill   v.杀死，杀害
killer   n.杀人者，杀手
kilo   n.(缩)公斤，公里
kilogram   n.公斤
kilometer   n.公里
kilowatt   n.千瓦
kind   n.种类 adj.仁慈的
kindergarten   n.幼儿园
kindle   v.点燃，激发
kindly   adv.仁慈地，好心地
kindness   n.仁慈，好意
king   n.国王
kingdom   n.王国
kiss   v.接吻，亲嘴
kit   n.全套工具、装备
kitchen   n.厨房
kite   n.风筝
knee   n.膝
kneel   v.跪下
knife   n.小刀
knight   n.骑士，爵士
knit   v.编织，皱(眉)
knob   n.球形把手
knock   v.敲，击倒 n.敲门声
knot   n.结，树节 v.打结
know   n.知道，认识，懂
know-how   n.专项技术，诀窍
knowledge   n.知识，学识
knowledgeable   adj.博学的
