machine   n.机器
machinery   n.机械(总称)
mackintosh   n.雨衣
macroeconomics   n.宏观经济学
mad   adj.疯狂的，狂热的
madam   n.夫人，太太，女士
madman   nn.疯子
madness   n.疯狂，疯病
magazine   n.杂志，期刊
magic   n.魔法，魔术，魅力
magician   n.魔术师
magistrate   n.地方法官
magnet   n.磁性，磁铁
magnetic   adj.磁性的
magnetism   n.磁性，磁力，吸引力
magnificent   adj.壮丽的，宏伟的
magnify   v.放大，扩大
magnitude   n.宏大，重要(性)
maid   n.女仆，侍女
maiden   n.少女 adj.未婚的
mail   n.邮件 v.邮寄
mailbox   n.信箱
main   adj.主要的
mainland   n.大陆，本土
mainly   adv.主要地，大部分
mainstream   n.主流
maintain   v.维持，保养，坚持
maintenance   n.保养，维修
maize   n.玉米
majesty   n.陛下，雄伟，庄严
major   adj.主要的，多数的
majority   n.多数，过半数
make   v.做，制造 n.种类
maker   n.制造者，制造商
make-shift   adj.临时的n.权宜之计
make-up   n.气质，化妆品
malady   n.病
malaria   n.疟疾
malaise   n.马来西亚
malaysia   n.马来西亚
male   adj.男性的，雄的
malice   n.恶意，恶感
malicious   adj.恶意的
man   n.人，男人，人类
manage   v.管理，处理，设法
management   n.管理(人员)，经营
manager   n.经理
managerial   adj.管理的
manhood   n.男子气
manifest   v.表明 adj.明白的
manifestation   n.表明
manifesto   n.宣言
manipulate   v.操纵，操作，摆布
manipulation   n.操纵，操作
mankind   n.人类
manly   adj.大丈夫的
manner   n.方法，方式，礼貌
mansion   n.宅第，官邸，大厦
manual   adj.用手的 n.手册
manufacture   v.,n.制造
manufactured   adj.制成的
manufacturer   n.制造商
manuscript   n.手稿，原稿
many   adj.许多的 n.许多
map   n.地图 v.筹划
maple   n.枫树
marble   n.大理石，弹子
march   n.三月n.,v.行进，行军
margin   n.余地，边缘
marginal   adj.边缘的，边际的
marine   adj.海的，海生的
mariner   n.海员，水手
mark   n.痕迹，符号，标记
marked   adj.有标记的，标明的
market   n.市场，销路
marketable   adj.有销路的
marketing   n.市场学，营销学
marketplace   n.市场，集市
marking   n.唛头，标记
marriage   n.婚姻，婚礼
married   adj.已婚的
marry   v.娶，嫁，为...主婚
mars   n.火星
marsh   n.沼泽
marshal   n.元帅
martyr   n.烈士，殉道者
marvel   n.奇迹 v.惊奇
marvellous   adj.奇异的，绝妙的
marxism   n.马克思主义
marxist   n.马克思主义者
masculine   adj.男性的，阳性的
mask   n.假面具 v.掩饰
mass   n.堆，大量，群众
massacre   n.,v.屠杀，残杀
massage   n.按摩，推拿
massive   adj.粗大的，厚重的
mass-media   n.传媒工具，新闻界
mast   n.桅杆
master   n.主人，大师，硕士
masterpiece   n.杰作
mat   n.垫子，席子
match   n.火柴，对手，比赛
mate   n.伙伴 v.配对
material   n.材料，资料，原料
materialism   n.唯物主义
materialize   v.使具体化，物质化
mathematical   adj.数学的
mathematics   n.数学
mathematician   n.数字家
maths   n.(缩)数学
matinee   n.日场演出
matter   n.事情，物资，毛病
mattress   n.床垫
mature   adj.成熟的，到期的
maturity   n.成熟，到期
maximize   v.增加到最大程度
maximum   n.最大量，极限
may   n.五月v.可以，也许，祝愿
maybe   adv.或许，大概
mayor   n.市长
me   pron.我(宾格)
meadow   n.牧场，草地
meal   n.膳食，一顿饭
mean   v.打算，意指
meaning   n.意义，意图
means   n.手段，财力
meantime   adv.同时，在这期间
meanwhile   adv.,n.在这期间
measure   n.尺寸，量具，措施
measurement   n.测量(结果)
meat   n.肉
mechanic   n.技工
mechanical   adj.机械的、机动的
mechanically   adv.机械地
mechanics   n.力学，机械学
mechanism   n.机制，机械装置
medal   n.奖章，勋章，纪念章
medical   adj.医学的，医务的
medicine   n.药，医学
medieval   adj.中世纪的
meditate   v.考虑，沉思
meditation   n.考虑，沉思冥想
mediterranean   n.地中海
medium   n.中间，媒介，中庸
meek   adj.温顺的
meet   v.遇到，会见，迎接
meeting   n.会议，集会
melancholy   n.,adj.忧郁(的)
melody   n.旋律，曲调
melon   n.瓜，甜瓜
melt   v.熔化，融解
member   n.成员，会员
membership   n.会员资格，全体成员
memo   n.备忘录
memoir   n.回忆录
memorial   adj.纪念的，追悼的
memorize   v.记住，记忆
memory   n.记忆(力)，回忆
menace   v.,n.威胁，恐吓
mend   v.修理，修补，好转
mental   adj.心理的，精神的
mentality   n.心理，意识
mention   v.,n.提及，讲到
menu   n.菜单
merchandise   n.商品，货物
merchant   n.商人 adj.商业的
mercantile   n.商品
merciful   adj.仁慈的，宽大的
mercury   n.水星n.汞，水银
mercy   n.宽大，慈悲，怜悯
mere   adj.仅仅的，起码的
merely   adv.仅仅，只
merge   v.合并
merit   n.价值，功绩 v.应得
mermaid   n.美人鱼
merry   adj.欢乐的
mesh   n.网孔，筛眼
mess   n.肮脏，凌乱 v.弄脏
message   n.音讯，消息
messenger   n.通讯员，使者
metal   n.金属
metallic   adj.金属的
metallurgy   n.冶金学
meter   n.量器，仪表
method   n.方法
methodology   n.方法(论)
meticulous   adj.小心翼翼的
meticulously   adv.胆小地
metre   n.米，公尺
metric   adj.公制的，米的
metropolitan   n.大都市
mexican   n.,adj.墨西哥人(的)
mexico   n.墨西哥
microeconomics   n.微观经济学
microphone   n.扩音器，话筒
microprocessor   n.微处理机
microscope   n.显微镜
microwave   n.微波
midday   n.正午，晌午
middle   n.当中 adj.中部的
middleman   n.中人，中间人
middling   n.中等的，第二流的
midnight   n.午夜
midst   n.中间，中部
might   v.或许，可以 n.力
mighty   adj.强有力的
