qualification   n.资格，条件
qualified   adj.有资格的
qualify   v.使合格，使胜任
qualitative   adj.质量的，定性的
quality   n.特性，属性，质量
quantitative   adj.数量的，定量的
quantity   n.量，大量
quarrel   v.,n.争吵
quart   n.夸脱(容量单位)
quarter   n.四分之一，一刻钟
quarterly   adj.季度的 n.季刊
quartz   n.石英
quay   n.码头
queen   n.王后，女王
queer   adj.奇妙的，古怪的
quench   v.抑制，熄灭，淬火
query   v.,n.询问
quest   n.寻找，搜索
question   n.问题，疑问 v.询问
questionnaire   n.调查表
queue   n.辫子，队 v.排队
quick   adj.快的，灵敏的
quicken   v.加快，加速，刺激
quickly   adv.快，迅速地
quiet   adj.安静的，轻声的
quietly   adv.安静地，静静地
quietness   n.平静，安定，安静
quilt   n.被子
quit   v.停止，放弃，退出
quite   adv.完全，十分，相当
quiver   v.颤抖
quiz   n.测验，问答比赛
quota   n.定额，配额
quotation   n.引语，语录，报价单
quote   v.引用，引证，报价
