ugly   adj.丑恶的，丑陋的
ulcer   n.溃疡
ultimate   adj.最终的，极限的
ultimately   adv.最后，终究
ultimo   adj.上月的
ultrasonic   adj.超声速的
ultraviolet   adj.紫外的
umbrella   n.伞，保护伞
unable   adj.不能的，不会的
unacceptable   adj.不能接受的
unaccommodating   adj.不青通融的
unaffordable   adj.买不起的
unanimous   adj.一致的
unavoidable   adj.不可避免的
unbearable   adj.不可忍受的
uncertain   adj.不确定的，易变的
uncertainty   n.不定，易变
uncle   n.伯、叔、舅、姑父
uncomfortable   adj.不舒服的
uncommon   adj.罕见的，不常见的
unconditionally   adv.无条件地
unconscious   adj.无知觉的
uncover   v.揭开
under   prep.在...下面
underestimate   v.低估
undergo   v.经受，经历
undergraduate   n.本科生
underground   adj.地下的，秘密的
underline   v.在...下划线，强调
underlying   adj.根本的，在下面的
undermentioned   adj.下述的
undermine   v.破坏
underneath   prep.,adv.在...下面
undersigned   adj.在...下面签名的
understand   n.了解，懂，熟悉
understanding   n.理解，谅解
undertake   v.从事，承担
undertaking   n.事业，许诺
underwear   n.内衣
underwriter   n.保险商，承购人
undo   v.解开，取消
undoubtedly   adv.无容置疑地
undue   adj.过分的，不适当的
unduly   adv.过分地，不适当地
uneasy   adj.不自在的，担心的
unemloyment   n.失业
unexpected   adj.意外的，未料到的
unfair   adj.不公平的
unfit   adj.不合适的
unfold   v.展示，摊开
unfortunate   adj.不幸的，遗憾的
unfortunately   adv.不幸地，不凑巧
unhappy   adj.不幸福的
uniform   adj.均匀的，统一的
uniformly   adv.单调地，一样地
uninterested   adj.不感兴趣的
union   n.联合，联盟，联合会
unique   adj.唯一的
unit   n.单位，个体
unite   v.统一，联合，团结
united   adj.联合的
united-kingdom   n.英国，联合王国
united-nations   n.联合国
united-states   n.美国，合众国
unity   n.统一，团结
universal   adj.宇宙的，普遍的
universally   adv.普遍地
universe   n.宇宙
university   n.大学
unjust   adj.不公正的
unkind   adj.不仁慈的，冷酷的
unknown   adj.未知的 n.未知物
unlawful   adj.不合法的，违法的
unless   prep.除非
unlike   adj.不同的
unlikely   adj.未必的，不象的
unlimited   adj.无限的
unload   v.卸货，卸除
unlock   v.开启，揭开
unlucky   adj.不幸的，倒霉的
unmerchantable   adj.无销路的
unnecessary   adj.不必要的
unobtainable   adj.无法得到的
unpaid   adj.未付的
unpleasant   adj.令人不愉快的
unprecedented   adj.前所未有的
unprecedentedly   adv.空前地
unreasonable   adj.不合理的，贵的
unsalable   adj.不好销售的
unsatisfactory   adj.不令人满意的
unstable   adj.不稳定
unsuitable   adj.不适宜的
untie   v.解开
until   prep.,conj.到...为止
unusable   adj.无法使用的
unusual   adj.不寻常的
unwarranted   adj.无根据的
unwelcome   adj.不受欢迎的
unwilling   adj.不愿意的
unworkable   adj.行不通的
up   adv.向上，起床
upcreep   n.(价格)上涨
uphold   v.支持，维持
upon   prep.在...之上
upper   adj.上部的，较高的
upright   adj.直立的，正直的
uproar   n.喧闹，轰鸣
upset   v.倾覆，打乱，使心烦
upside   n.上面，上部
upside-down   adj.颠倒的，倒置的
upstairs   adv.在楼上，往楼上
up-to-date   adj.时新的，最近的
upward   adv.,adj.向上(的)
uranium   n.铀
urban   adj.都市的，城市的
urge   v.敦促，推动 n.冲动
urgent   adj.紧迫的，紧急的
urgently   adv.紧急地
us   pron.我们(宾格)
usage   n.使用，惯用法
use   v.使用 n.用途，利用
useful   adj.有用的，有益的
usefulness   n.用处，有效性
useless   adj.无用的
user   n.使用者，用户
usual   adj.通常的，习惯性的
usually   adv.通常，平常
utensil   n.用具，器皿
utility   n.效用，公用事业
utilization   n.利用
utilize   v.利用
utmost   adj.最大的，最高的
utter   v.说,发声 adj.完全的
utterance   n.说话
