van n.小货车，面包车
vex v.使烦恼
via prep.经由，取道
vow v.,n.许愿，发誓
vain adj.徒然的，自负的
vary v.变化，使多样化
vase n.花瓶
vast adj.巨大的，宏大的
veil n.面纱，账，托辞
vein n.静脉，矿脉，脉
verb n.动词
very adv.很，非常
vest n.背心，汗衫
veto v.,n.否决(权)
vice n.坏事，恶习
view n.视域，景色，见解
vine n.藤，葡萄树
visa n.签证
void adj.空的，无效的
volt n.伏特
vote n.投票(权)，得票数
vague adj.含糊的，不清楚的
valid adj.正当的，有效的
value v.评价，估价
valve n.阀门
vapor n.水汽，蒸汽
vault n.拱顶
venus n.金星
verge n.边缘，界限
verse n.诗，韵文
video adj.电视的，视频的
vigor n.活动，精力，元气
villa n.别墅
virus n.病毒
visit v.,n.访问，参观
vital adj.必不可少的
vivid adj.鲜艳的
vogue n.时尚，时髦
voice v.吐露
voter n.投票人，选举人
vouch v.担保
vowel n.元音
vacacy n.空缺，空位
vacant adj.空的，闲置的
vacuum n.真空
vainly adv.徒劳地
valian n.坏蛋
valley n.山谷
valued adj.宝贵的
vanish v.消失，消散
vanity n.虚荣心，浮华
varied adj.不同的
vector n. 矢量
velvet adj.柔软的
vender n.商贩
verbal adj.文字的，口头的
verify v.检验，证实
versus prep.对
vessel n.船只，容器，血管
victim n.受害者
viewer n.观察者，电视观众
violet n.紫罗兰，紫色
violin n.小提琴
virgin n.处女
virtue n.善，美德，优点
vision n.视觉，视力，想象力
visual adj.视觉的
volley n.,v.齐射
volume n.卷，册，量，体积
voting adj.有投票权的
voyage n.,v.航行
vulgar adj.低级趣味的
variant adj.不同的，不一致的
variety n.多样(性)，品种
various adj.各种各样的
varnish n.清漆
vehicle n.运载工具
venture n.,v.冒险
version n.译文，译本，看法
veteran n.老手，老兵
vibrate v.振动，战栗
vicious adj.邪恶的，不道德的
victory n.胜利
village n.村庄
villain n.坏蛋
vinegar n.醋
violate v.违犯，违背
violent adj.猛烈的，暴力的
virtual adj.实质上的
viscous adj.粘的
visible adj.看得见的
visitor n.客人，来宾，来访者
vitamin n.维生素
vividly adv.生动地
volcano n.火山
voltage n.电压
voucher n.凭证，收据
vacation n.假期
validity n.有效，确实
valuable adj.宝贵的，有价值的
variable n.变量
variance n.分歧，不一致
velocity n.速度，速率
vertical adj.垂直的
vicinity n.邻近，附近，接近
vigorous adj.精力旺盛的
violence n.猛烈，暴力，暴行
vocation n.职业
vaccinate v.接种疫苗
variation n.变化，变更
vegetable n.蔬菜，植物
vengeance n.报复，复仇
ventilate v.换气，自由讨论
versatile adj.多才多艺的
vibration n.振动，颤动
viewpoint n.观点，看法
violation n.违犯，侵犯
virtually adj.几乎，差不多
vividness n.生动(性)
voiceless adj.无声的
voluntary adj.自愿的，志愿的
volunteer v.志愿
victorious adj.胜利的，成功的
vocabulary n.词汇，词汇表、量
volleyball n.排球
vulnerable adj.晚受损害的
vaccination n.接种
ventilation n.通风
verification n.检验
vulnerability n.易损性
